lag,acf
0,1.0
1,0.2851147474942772
2,0.17873861883998454
3,0.29095314632649677
4,0.2672869956714276
5,0.2790679784445971
6,0.21995469436128928
7,0.27309066613407046
8,0.290779504478613
9,0.23757407596667834
10,0.2139079253116091
11,0.2375046192275248
12,0.3083641577144254
13,0.24334301805974437
14,0.14878260054819792
15,0.20782642789235217
16,0.2491466885223872
17,0.23729624901006427
18,0.16636725378401018
19,0.2844896368418956
20,0.30217847518643814
21,0.21943376881763788
22,0.1603204847343301
23,0.23708787879260368
24,0.24886886156577318
25,0.2724655554816888
26,0.15427371568464993
27,0.254672532028416
28,0.31371635937257025
29,0.24869521971788935
30,0.24866049134831264
31,0.26044147412148205
32,0.22495961232366668
33,0.21310917281134373
34,0.19535087772764764
35,0.2307632827863095
36,0.25435997670222515
37,0.20706240376166357
38,0.18930410867796746
39,0.2129008025938832
40,0.2601289187952912
41,0.2069234902833565
42,0.21279661748515288
43,0.23048545582969543
44,0.23635858303149182
45,0.17133744337681087
46,0.15357914829311478
47,0.29533295363649253
48,0.25394323626730403
49,0.21255351889811558
50,0.1947952238144195
51,0.19476049544484275
52,0.21244933378938535
53,0.1887831831343161
54,0.20056416590748555
55,0.24779228210889373
56,0.18277114245421272
57,0.14728928065639738
58,0.18270168571505924
59,0.20039052405960178
60,0.20035579569002507
