cidade,bairro,weekday,mean_count,index,proportion
Fortaleza,BARROSO,Quarta-feira,6.0,0.608695652173913,0.08695652173913043
Fortaleza,BARROSO,Quinta-feira,10.0,1.0144927536231882,0.14492753623188406
Fortaleza,BARROSO,Segunda-feira,5.0,0.5072463768115941,0.07246376811594203
Fortaleza,BARROSO,Sexta-feira,11.0,1.115942028985507,0.15942028985507245
Fortaleza,BARROSO,Sábado,11.0,1.115942028985507,0.15942028985507245
Fortaleza,BARROSO,Terça-feira,12.0,1.217391304347826,0.17391304347826086
Fortaleza,BELA VISTA,Quinta-feira,3.0,2.142857142857143,0.42857142857142855
Fortaleza,BELA VISTA,Segunda-feira,1.0,0.7142857142857143,0.14285714285714285
Fortaleza,BELA VISTA,Sexta-feira,1.0,0.7142857142857143,0.14285714285714285
Fortaleza,BELA VISTA,Sábado,1.0,0.7142857142857143,0.14285714285714285
Fortaleza,BELA VISTA,Terça-feira,1.0,0.7142857142857143,0.14285714285714285
Fortaleza,BENFICA,Domingo,2.0,1.1428571428571428,0.2857142857142857
Fortaleza,BENFICA,Quarta-feira,2.0,1.1428571428571428,0.2857142857142857
Fortaleza,BENFICA,Quinta-feira,1.0,0.5714285714285714,0.14285714285714285
Fortaleza,BENFICA,Sexta-feira,2.0,1.1428571428571428,0.2857142857142857
Fortaleza,BOA VISTA/CASTELÃO,Domingo,3.0,0.6774193548387096,0.0967741935483871
Fortaleza,BOA VISTA/CASTELÃO,Quarta-feira,9.0,2.032258064516129,0.2903225806451613
Fortaleza,BOA VISTA/CASTELÃO,Quinta-feira,3.0,0.6774193548387096,0.0967741935483871
Fortaleza,BOA VISTA/CASTELÃO,Segunda-feira,3.0,0.6774193548387096,0.0967741935483871
Fortaleza,BOA VISTA/CASTELÃO,Sexta-feira,4.0,0.9032258064516129,0.12903225806451613
Fortaleza,BOA VISTA/CASTELÃO,Sábado,4.0,0.9032258064516129,0.12903225806451613
Fortaleza,BOA VISTA/CASTELÃO,Terça-feira,5.0,1.129032258064516,0.16129032258064516
Fortaleza,BOM FUTURO,Quinta-feira,1.0,0.6666666666666666,0.3333333333333333
Fortaleza,BOM FUTURO,Sábado,2.0,1.3333333333333333,0.6666666666666666
Fortaleza,BOM JARDIM,Domingo,8.0,1.037037037037037,0.14814814814814814
Fortaleza,BOM JARDIM,Quarta-feira,5.0,0.6481481481481481,0.09259259259259259
Fortaleza,BOM JARDIM,Quinta-feira,3.0,0.3888888888888889,0.05555555555555555
Fortaleza,BOM JARDIM,Segunda-feira,5.0,0.6481481481481481,0.09259259259259259
Fortaleza,BOM JARDIM,Sexta-feira,11.0,1.4259259259259258,0.2037037037037037
Fortaleza,BOM JARDIM,Sábado,10.0,1.2962962962962963,0.18518518518518517
Fortaleza,BOM JARDIM,Terça-feira,12.0,1.5555555555555556,0.2222222222222222
Fortaleza,BONSUCESSO,Domingo,6.0,0.9130434782608696,0.13043478260869565
Fortaleza,BONSUCESSO,Quarta-feira,6.0,0.9130434782608696,0.13043478260869565
Fortaleza,BONSUCESSO,Quinta-feira,5.0,0.7608695652173914,0.10869565217391304
Fortaleza,BONSUCESSO,Segunda-feira,9.0,1.3695652173913044,0.1956521739130435
Fortaleza,BONSUCESSO,Sexta-feira,6.0,0.9130434782608696,0.13043478260869565
Fortaleza,BONSUCESSO,Sábado,5.0,0.7608695652173914,0.10869565217391304
Fortaleza,BONSUCESSO,Terça-feira,9.0,1.3695652173913044,0.1956521739130435
Fortaleza,CAIS DO PORTO,Domingo,10.0,2.173913043478261,0.43478260869565216
Fortaleza,CAIS DO PORTO,Quarta-feira,2.0,0.4347826086956522,0.08695652173913043
Fortaleza,CAIS DO PORTO,Segunda-feira,5.0,1.0869565217391306,0.21739130434782608
Fortaleza,CAIS DO PORTO,Sexta-feira,5.0,1.0869565217391306,0.21739130434782608
Fortaleza,CAIS DO PORTO,Sábado,1.0,0.2173913043478261,0.043478260869565216
Fortaleza,CAJAZEIRAS,Domingo,4.0,0.6857142857142857,0.11428571428571428
Fortaleza,CAJAZEIRAS,Quarta-feira,5.0,0.8571428571428572,0.14285714285714285
Fortaleza,CAJAZEIRAS,Quinta-feira,11.0,1.885714285714286,0.3142857142857143
Fortaleza,CAJAZEIRAS,Segunda-feira,5.0,0.8571428571428572,0.14285714285714285
Fortaleza,CAJAZEIRAS,Sexta-feira,4.0,0.6857142857142857,0.11428571428571428
Fortaleza,CAJAZEIRAS,Sábado,6.0,1.0285714285714287,0.17142857142857143
Fortaleza,CAMBEBA,Domingo,2.0,1.25,0.25
Fortaleza,CAMBEBA,Quarta-feira,1.0,0.625,0.125
Fortaleza,CAMBEBA,Quinta-feira,1.0,0.625,0.125
Fortaleza,CAMBEBA,Segunda-feira,2.0,1.25,0.25
Fortaleza,CAMBEBA,Sábado,2.0,1.25,0.25
Fortaleza,CANINDEZINHO,Domingo,6.0,0.9333333333333333,0.13333333333333333
Fortaleza,CANINDEZINHO,Quarta-feira,10.0,1.5555555555555556,0.2222222222222222
Fortaleza,CANINDEZINHO,Quinta-feira,6.0,0.9333333333333333,0.13333333333333333
Fortaleza,CANINDEZINHO,Segunda-feira,8.0,1.2444444444444445,0.17777777777777778
Fortaleza,CANINDEZINHO,Sexta-feira,8.0,1.2444444444444445,0.17777777777777778
Fortaleza,CANINDEZINHO,Sábado,3.0,0.4666666666666667,0.06666666666666667
Fortaleza,CANINDEZINHO,Terça-feira,4.0,0.6222222222222222,0.08888888888888889
Fortaleza,CARARU,Quinta-feira,1.0,1.0,1.0
Fortaleza,CARLITO PAMPLONA,Domingo,10.0,1.4,0.2
Fortaleza,CARLITO PAMPLONA,Quarta-feira,4.0,0.5599999999999999,0.08
Fortaleza,CARLITO PAMPLONA,Quinta-feira,7.0,0.98,0.14
Fortaleza,CARLITO PAMPLONA,Segunda-feira,7.0,0.98,0.14
Fortaleza,CARLITO PAMPLONA,Sexta-feira,4.0,0.5599999999999999,0.08
Fortaleza,CARLITO PAMPLONA,Sábado,5.0,0.7,0.1
Fortaleza,CARLITO PAMPLONA,Terça-feira,13.0,1.8199999999999998,0.26
Fortaleza,CENTRO,Domingo,3.0,0.5675675675675675,0.08108108108108109
Fortaleza,CENTRO,Quarta-feira,6.0,1.135135135135135,0.16216216216216217
Fortaleza,CENTRO,Quinta-feira,3.0,0.5675675675675675,0.08108108108108109
Fortaleza,CENTRO,Segunda-feira,5.0,0.9459459459459459,0.13513513513513514
Fortaleza,CENTRO,Sexta-feira,4.0,0.7567567567567568,0.10810810810810811
Fortaleza,CENTRO,Sábado,10.0,1.8918918918918919,0.2702702702702703
Fortaleza,CENTRO,Terça-feira,6.0,1.135135135135135,0.16216216216216217
Fortaleza,CIDADE 2000,Domingo,2.0,1.6,0.4
Fortaleza,CIDADE 2000,Quarta-feira,1.0,0.8,0.2
Fortaleza,CIDADE 2000,Quinta-feira,1.0,0.8,0.2
Fortaleza,CIDADE 2000,Segunda-feira,1.0,0.8,0.2
Fortaleza,CIDADE DOS FUNCIONÁRIOS,Domingo,3.0,0.72,0.12
Fortaleza,CIDADE DOS FUNCIONÁRIOS,Quarta-feira,7.0,1.68,0.28
Fortaleza,CIDADE DOS FUNCIONÁRIOS,Quinta-feira,4.0,0.96,0.16
Fortaleza,CIDADE DOS FUNCIONÁRIOS,Segunda-feira,4.0,0.96,0.16
Fortaleza,CIDADE DOS FUNCIONÁRIOS,Sexta-feira,5.0,1.2,0.2
Fortaleza,CIDADE DOS FUNCIONÁRIOS,Sábado,2.0,0.48,0.08
Fortaleza,COAÇU,Domingo,2.0,0.7692307692307692,0.15384615384615385
Fortaleza,COAÇU,Quinta-feira,2.0,0.7692307692307692,0.15384615384615385
Fortaleza,COAÇU,Sexta-feira,1.0,0.3846153846153846,0.07692307692307693
Fortaleza,COAÇU,Sábado,5.0,1.923076923076923,0.38461538461538464
Fortaleza,COAÇU,Terça-feira,3.0,1.1538461538461537,0.23076923076923078
Fortaleza,COCÓ,Domingo,1.0,0.6,0.2
Fortaleza,COCÓ,Quarta-feira,1.0,0.6,0.2
Fortaleza,COCÓ,Terça-feira,3.0,1.7999999999999998,0.6
Fortaleza,CONJUNTO CEARÁ I,Domingo,2.0,1.2727272727272727,0.18181818181818182
Fortaleza,CONJUNTO CEARÁ I,Quarta-feira,2.0,1.2727272727272727,0.18181818181818182
Fortaleza,CONJUNTO CEARÁ I,Quinta-feira,1.0,0.6363636363636364,0.09090909090909091
Fortaleza,CONJUNTO CEARÁ I,Segunda-feira,1.0,0.6363636363636364,0.09090909090909091
Fortaleza,CONJUNTO CEARÁ I,Sexta-feira,2.0,1.2727272727272727,0.18181818181818182
Fortaleza,CONJUNTO CEARÁ I,Sábado,1.0,0.6363636363636364,0.09090909090909091
Fortaleza,CONJUNTO CEARÁ I,Terça-feira,2.0,1.2727272727272727,0.18181818181818182
Fortaleza,CONJUNTO CEARÁ II,Domingo,1.0,0.46153846153846156,0.07692307692307693
Fortaleza,CONJUNTO CEARÁ II,Quarta-feira,3.0,1.3846153846153848,0.23076923076923078
Fortaleza,CONJUNTO CEARÁ II,Quinta-feira,4.0,1.8461538461538463,0.3076923076923077
