year_month,bairro,procedimentos,armas_sequestradas,drogas_kg,dinheiro_reais,homicidios
2021-01,FLECHEIRAS DO MEIO,1,2,970.0,1689.0,0
2021-01,FLORES,1,1,0.0,0.0,0
2021-01,FOMENTO,1,0,3623.0,318.55,0
2021-01,FRANCISCANO,1,0,0.0,0.0,0
2021-01,FREI DAMIÃO,3,2,4.0,1.521,0
2021-01,FÁTIMA,1,0,0.0,0.0,0
2021-01,FÁTIMA I,1,0,0.0,0.0,0
2021-01,FÁTIMA II,2,0,1.0,0.0,0
2021-01,GENIBAU,2,0,13.1,94.0,0
2021-01,GENIBAÚ,6,2,99.0,0.0,0
2021-01,GOVERNADOR FERRAZ,1,0,0.0,0.0,0
2021-01,GRANJA LISBOA,2,0,0.0,0.0,0
2021-01,GRANJA PORTUGAL,4,0,383.0,0.0,0
2021-01,GRILO,1,0,0.0,0.0,1
2021-01,GRUTA,1,2,0.0,0.0,0
2021-01,HENRIQUE JORGE,2,0,27.0,9.0,0
2021-01,ICARAÍ,1,1,0.0,0.0,0
2021-01,INHUÇU,1,0,0.0,531.0,0
2021-01,ITAPERI,3,1,5.5,80.0,0
2021-01,JACARECANGA,3,0,160.0,116.9,0
2021-01,JANGURUSSU,4,2,0.0,76.0,0
2021-01,JARDIM BANDEIRANTES,4,4,4.0,1263.0,0
2021-01,JARDIM CASTELÃO,1,0,0.0,0.0,0
2021-01,JARDIM IRACEMA,4,0,4.5,0.0,0
2021-01,JARDIM PARAÍSO,1,0,0.0,0.0,0
2021-01,JATOBÁ,1,0,0.0,0.0,0
2021-01,JEREISSATI,2,0,0.0,0.0,0
2021-01,JEREISSATI 1,1,0,0.0,0.0,0
2021-01,JEREISSATI I,1,2,0.0,0.0,0
2021-01,JOSE WALTER,1,0,0.0,0.0,0
2021-01,JOSÉ BONIFÁCIO,2,1,0.0,26.0,0
2021-01,JOSÉ SIMÕES,1,0,0.1,18561.0,0
2021-01,JOSÉ WALTER,5,1,2.1,1419.0,0
2021-01,JOÃO XIII,2,0,0.0,0.0,0
2021-01,JOÃO XXIII,3,1,0.0,10650.0,0
2021-01,JUNCO,1,0,0.0,0.0,0
2021-01,JUREMA,1,0,0.0,0.0,0
2021-01,JUÁ,1,0,19.0,0.0,0
2021-01,JÓQUEI CLUBE,1,0,0.0,0.0,0
2021-01,LAGAMAR,4,0,0.0,170.0,0
2021-01,LAGOA DE BEBER,1,1,155.0,0.0,0
2021-01,LAGOA DO TOCO,1,0,8.0,442.0,0
2021-01,LAGOINHA,1,1,30.0,0.0,0
2021-01,LAMEIRO,1,1,0.0,0.0,0
2021-01,LARGES,1,0,0.0,0.0,0
2021-01,LOGOA DO MATO,1,1,5.5,150.0,0
2021-01,LOTEAMENTO PLANALTO SUL II,1,0,10444.0,0.0,0
2021-01,LUIS ALVES DE FREITAS,1,0,0.0,0.0,0
2021-01,MALVINAS,1,0,9.0,0.0,0
2021-01,MANGABEIRA,2,2,0.0,0.0,0
2021-01,MARANHÃO,1,0,2017.0,179.25,0
2021-01,MARAPONGA,2,3,0.0,0.0,0
2021-01,MARATOAN,1,0,0.0,0.0,0
2021-01,MARECHAL RONDON,5,3,62.0,0.0,0
2021-01,MATA DOS DUDAS,1,0,0.0,0.0,0
2021-01,MATAQUIRI,1,0,24.0,940.0,0
2021-01,MEIRELES,2,0,9.0,45.0,0
2021-01,MERINHEIRO,1,0,0.0,0.0,0
2021-01,MESSEJANA,6,1,13.0,30.0,0
2021-01,MESTRE ANTÔNIO,1,1,0.0,0.0,0
2021-01,MIGUEL ARRAIZ,1,0,0.0,0.0,0
2021-01,MINGUAU,1,1,0.0,0.0,0
2021-01,MONDUBIM,3,1,87.3,358.8,0
2021-01,MONDUMBIM,1,0,0.0,170.0,0
2021-01,MONGUBA,1,0,0.0,0.0,0
2021-01,MONTE,1,0,0.0,0.0,0
2021-01,MONTE CASTELO,4,0,1.0,0.0,0
2021-01,MONTESE,1,0,0.0,0.0,0
2021-01,MOURA BRASIL,3,0,0.0,0.0,0
2021-01,MUCURIPE,1,1,0.0,0.0,0
2021-01,MUNDAÚ,2,0,91.0,0.0,0
2021-01,MURITI,1,0,0.0,0.0,0
2021-01,MUTIRÃO,1,0,166.0,140.0,0
2021-01,NOVA ACOPIARA,1,0,0.0,71.0,0
2021-01,NOVA HIDROLÂNDIA,1,1,0.0,0.0,0
2021-01,OLHO D’ÁGUA,1,1,47.0,313.2,0
2021-01,OLINDA,3,0,555.0,48.0,0
2021-01,PADRE ANDRADE,1,1,0.0,0.0,0
2021-01,PADRE JULIO MARIA,1,0,481.0,0.0,0
2021-01,PADRE PALHANO,3,1,301.0,255.0,1
2021-01,PAJUÇARA,1,0,0.0,0.0,0
2021-01,PALESTINA,1,1,80.7,0.0,0
2021-01,PANAMERICANO,2,0,6.0,0.0,0
2021-01,PAPICU,1,0,0.0,0.0,0
2021-01,PARANGABA,2,0,0.0,319.0,0
2021-01,PARQUE ALBANO,1,0,11.0,474.0,0
2021-01,PARQUE ARAXÁ,1,1,0.0,29.05,0
2021-01,PARQUE BOA VISTA,1,0,0.0,0.0,0
2021-01,PARQUE DOIS IRMÃOS,1,0,0.0,0.0,0
2021-01,PARQUE GUADALAJARA,1,0,4.0,5.0,0
2021-01,PARQUE JERUSALÉM,1,0,0.0,0.0,0
2021-01,PARQUE MONTENEGRO 2,1,0,0.0,0.0,0
2021-01,PARQUE QUINAMUNHUM,1,0,0.0,0.0,0
2021-01,PARQUE SANTA ROSA,1,0,0.0,0.0,0
2021-01,PARQUE SANTANA,1,1,3.3,0.0,0
2021-01,PARQUE SILVANA I,1,0,0.0,0.0,0
2021-01,PARQUE SÃO JOSÉ,2,1,0.0,0.0,0
2021-01,PARQUE SÃO VICENTE,1,0,0.0,0.0,0
2021-01,PARQUE URUPÊ,1,0,0.0,0.0,0
2021-01,PARQUELÂNDIA,4,0,0.0,1761.0,0
2021-01,PASSARÉ,2,1,44.0,342.0,0
2021-01,PAU SERRADO,1,0,0.0,0.0,0
2021-01,PEDRAGAL,1,0,12.0,0.0,0
2021-01,PEDREIRA,1,2,1214.0,378.0,1
2021-01,PEDREIRAS,1,0,54.0,0.0,0
2021-01,PICI,1,0,0.0,0.0,0
2021-01,PINTO MADEIRA,2,1,36.0,99.25,0
2021-01,PIRAJÁ,1,0,0.0,0.0,0
2021-01,PIRAMBU,8,0,149.5,441.0,0
2021-01,PIRATININGA,2,0,214.0,90.0,0
2021-01,PLABAUTO,1,0,4.0,142.0,0
2021-01,PLANALTINA,1,0,1.5,0.0,0
2021-01,PLANALTO AIRTON SENA,2,0,99.0,0.0,0
2021-01,PLANALTO AIRTON SENNA,3,0,27.5,557.8,0
2021-01,PLANALTO AYRTON SENNA,2,1,30.0,0.0,0
2021-01,PLANALTO DA BELA VISTA,1,0,0.0,0.0,0
2021-01,PLANALTO HORIZONTE,2,0,0.0,0.0,0
2021-01,PLANALTO PICI,1,1,0.0,0.0,0
2021-01,POR DO SOL,1,0,0.0,100.0,0
2021-01,POTIRA I,1,0,400.0,0.0,0
2021-01,PRAIA,1,0,45.0,0.0,0
2021-01,PRAIA DE MACEIÓ,1,0,0.0,0.0,0
2021-01,PRAIA DE MORRO BRANCO,1,0,12.0,285.0,0
2021-01,PRAIA DO FUTURO,3,0,52.0,10.0,0
2021-01,PRAINHA,1,0,6.0,60.5,0
2021-01,QUEBRA BRAÇO,1,0,0.0,0.0,0
2021-01,QUINTAIUS,1,0,0.0,0.0,0
2021-01,QUINTINO CUNHA,7,5,67.1,95.3,1
2021-01,RECANTO,1,0,926.0,0.0,0
2021-01,RESIDENCIAL,1,0,0.0,0.0,0
2021-01,RESIDENCIAL CAIÇARA,1,1,0.0,0.0,0
2021-01,RESIDÊNCIAL,1,0,0.0,0.0,0
2021-01,RIACHO,1,0,7.0,0.0,0
2021-01,RIO NOVO,1,0,19.0,100.0,0
2021-01,ROBERTO DOURADO,1,0,44.0,0.0,0
2021-01,RODAGEM DO LAGO,1,1,0.0,0.0,0
2021-01,RODOLFO TEÓFILO,1,0,0.0,0.0,0
2021-01,ROSALINDA,1,0,0.0,0.0,0
2021-01,SALESIANO,1,0,0.0,0.0,0
2021-01,SALVIANO CARLOS,1,0,0.0,0.0,0
2021-01,SANTA LUZIA,1,2,67.0,232.0,0
2021-01,SANTA TEREZA,1,0,3.0,332.0,0
2021-01,SANTA ÚRSULA,1,2,48.0,330.0,0
