month,cvli_monthly_total
2025-01,7
2025-02,16
2025-03,8
2025-04,13
2025-05,12
2025-06,15
2025-07,8
2025-08,9
2025-09,12
2025-10,16
2025-11,15
2025-12,5
2026-01,4
