cidade,bairro,n_events,mean_reduction_prev_minus_next,median_reduction,prop_reduction_positive,t_stat,p_value,high_months_example
,CENTRO,2,0.0,0.0,0.5,0.0,1.0,"2025-03,2025-10"
,ZONA RURAL,7,-0.5714285714285714,-2.0,0.42857142857142855,-0.42559614127914513,0.6852449888947181,"2025-02,2025-03,2025-04,2025-05,2025-09"
