bairro,cvli_predito,prob_mudanca,volatilidade
Amadeu Furtado,0.004104805025425393,0.00033954336,0.04112163
Cambeba,0.004104805025425393,0.0003395346,0.07352049
Mucuripe,0.003591704478080921,0.00033955468,0.03902389
Meireles,0.0035917040499600177,0.0003395469,0.06879478
Rachel De Queiroz,0.0035917040499600177,0.0003395469,0.039024632
Praia De Iracema,0.0035917040499600177,0.0003395469,0.06879456
Demócrito Rocha,0.0035917040499600177,0.0003395469,0.06879524
Benfica,0.0035917040499600177,0.0003395469,0.03902442
Jardim América,0.0035917040499600177,0.0003395469,0.03902425
Bela Vista,0.0035917040499600177,0.00033953527,0.06879452
Couto Fernandes,0.0030786035396033868,0.0003395469,0.03680426
Varjota,0.0030786035396033868,0.0003395469,0.063714154
Parque Manibura,0.0030786035396033868,0.0003395469,0.06371432
Cidade 2000,0.0025655030304204338,0.0003395469,0.058182403
Rodolfo Teófilo,0.0025655030304204338,0.0003395469,0.058181792
Precabura,0.0025655030304204338,0.0003395469,0.034437675
Cocó,0.0025655030304204338,0.0003395469,0.058182396
Parreão,0.0025655030304204338,0.0003395469,0.058181964
Parquelândia,0.0020524025127126966,0.00033953914,0.052057724
Jardim Cearense,0.0015393017698016934,0.00033948867,0.04509863
Bom Futuro,0.0015393017698016934,0.00033953588,0.029123094
Damas,0.0015393017698016934,0.0003395469,0.045098342
Salinas,0.0015393017698016934,0.0003395346,0.0450984
São Gerardo,0.0015393017698016934,0.0003395469,0.04509853
Panamericano,0.0015393017698016934,0.0003394647,0.04509777
Monte Castelo,0.001026201378676618,0.00033955823,0.036834884
Ellery,0.0010262012563563483,0.0003395469,0.03683499
Parque Araxá,0.0010262012563563483,0.00033953588,0.03683519
Cararu,0.000513100689338309,0.00033958768,0.02605557
Dionísio Torres,0.0005131006281781741,0.0003395469,0.026055604
