cidade,bairro,hour,count
Acopiara,São Paulino,23,1
Acopiara,Sítio Balão,0,1
Acopiara,Sítio Urubu,6,1
Acopiara,Trussu,15,1
Acopiara,Umari,17,1
Acopiara,Vila Esperança,4,2
Acopiara,Vila Esperança,12,1
Acopiara,Vila Esperança,13,2
Acopiara,Vila Esperança,17,2
Acopiara,Vila Esperança,22,7
Acopiara,"Vila Esperança, Cohab III",18,1
Acopiara,Vila Jati,15,1
Acopiara,Vila Martins,15,1
Acopiara,Vila Nova,18,1
Acopiara,Vila São João,0,1
Acopiara,Vila São João,13,1
Acopiara,Vila Umari,16,1
Acopiara,Zona Rural,0,4
Acopiara,Zona Rural,1,3
Acopiara,Zona Rural,2,3
Acopiara,Zona Rural,3,1
Acopiara,Zona Rural,4,1
Acopiara,Zona Rural,10,2
Acopiara,Zona Rural,11,4
Acopiara,Zona Rural,12,4
Acopiara,Zona Rural,13,3
Acopiara,Zona Rural,14,5
Acopiara,Zona Rural,15,5
Acopiara,Zona Rural,16,1
Acopiara,Zona Rural,17,3
Acopiara,Zona Rural,18,2
Acopiara,Zona Rural,19,3
Acopiara,Zona Rural,20,2
Acopiara,Zona Rural,21,3
Acopiara,Zona Rural,22,5
Acopiara,Zona Rural,23,2
Aiuaba,Barra,15,1
Aiuaba,Zona Rural,16,1
Aiuaba,Zona Rural,19,1
Alcântaras,Zona Rural,15,1
Altaneira,Zona Rural,21,1
Amontada,-,4,1
Amontada,-,16,1
Amontada,--,18,1
Amontada,Alto Verde,15,1
Amontada,Amontada,19,1
Amontada,Aracatiara,18,1
Amontada,Aracatiara,21,1
Amontada,Bairro Flores,21,1
Amontada,Buenos Aires,0,1
Amontada,Buenos Aires,3,3
Amontada,Buenos Aires,11,1
Amontada,Buenos Aires,15,1
Amontada,Buenos Aires,23,1
Amontada,Caixa D'água,2,1
Amontada,Caixa D’água,20,1
Amontada,Caixa d'água,4,1
Amontada,Campo,12,1
Amontada,Centro,0,1
Amontada,Centro,1,1
Amontada,Centro,2,1
Amontada,Centro,5,1
Amontada,Centro,15,2
