bairro,mes,prisoes
MUNGUBA,2025-10,1
MUNGUBA,2025-11,1
FAVELA DOS CAJUEIROS,2025-10,1
POTIRA,2025-10,2
POTIRA,2025-11,4
POTIRA,2025-12,2
ICARAÍ,2025-10,1
JUREMA,2025-10,1
ITAMBE I,2025-10,1
ITAMBE I,2025-12,1
NOVA METRÓPOLE,2025-10,1
NOVA METRÓPOLE,2025-11,1
PARQUE ALBANO,2025-10,1
PARQUE ALBANO,2025-11,1
CAMURUPIM,2025-10,1
GUAJIRU,2025-10,1
GUAJIRU,2025-11,1
GUAJIRU,2025-12,1
PADRE JÚLIO MARIA,2025-10,1
PICUÍ,2025-10,1
PICUÍ,2025-11,2
PICUÍ,2025-12,1
ZONA RURAL,2025-10,1
PARQUE BOA VISTA,2025-11,1
MESTRE ANTONIO ,2025-11,2
MESTRE ANTONIO ,2025-12,1
TABAPUÁ,2025-11,2
TABAPUÁ,2025-12,2
CUMBUCO,2025-11,2
CUMBUCO,2025-12,1
TOCO,2025-11,1
CURICACA,2025-11,1
TABUBA,2025-11,1
PARQUE SOLEDADE,2025-12,2
ARIANÓPOLIS,2025-12,1
PLANALTO CAUCAIA,2025-12,1
VILA NOVA,2025-12,1
PARQUE LEBLON,2025-12,1
TUCUNDUBA,2025-12,1
