cidade,bairro,1,2,3,4,5,6,7,8,9,10,11,12
Acaraú,Zona Rural,0.7019498607242339,2.0055710306406684,0.40111420612813364,1.203342618384401,0.6016713091922005,2.406685236768802,0.8022284122562673,0.8022284122562673,0.6016713091922005,1.203342618384401,0.6685236768802229,0.6016713091922005
Acaraú,Zona Urbana,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Acopiara,Acopiara,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Acopiara,Aroeira,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Acopiara,Aroeiras,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acopiara,Catolé Da Pista,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acopiara,Centro,1.0999999999999999,0.6599999999999999,0.0,0.9899999999999999,0.8799999999999998,0.6599999999999999,0.6599999999999999,0.9899999999999999,0.6599999999999999,2.6399999999999997,0.6599999999999999,1.0999999999999999
Acopiara,Cobal,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Acopiara,Coichetes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Acopiara,Distrito Ebron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Acopiara,Distrito Flamengo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Acopiara,Distrito de São Paulino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Acopiara,Distrito de Trussu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Acopiara,Distrito de Umari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Acopiara,Estação,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Acopiara,Lagoinha,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Acopiara,Localidade Vila Caixa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Acopiara,Maria Ramos,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Acopiara,Moreira,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Acopiara,Moreira De Baixo,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
