cidade,bairro,weekday,count
Fortaleza,JARDIM CEARENSE,Sábado,1
Fortaleza,JARDIM DAS OLIVEIRAS,Quarta-feira,13
Fortaleza,JARDIM DAS OLIVEIRAS,Sábado,10
Fortaleza,JARDIM DAS OLIVEIRAS,Sexta-feira,8
Fortaleza,JARDIM DAS OLIVEIRAS,Terça-feira,7
Fortaleza,JARDIM DAS OLIVEIRAS,Domingo,4
Fortaleza,JARDIM DAS OLIVEIRAS,Quinta-feira,4
Fortaleza,JARDIM DAS OLIVEIRAS,Segunda-feira,4
Fortaleza,JARDIM GUANABARA,Terça-feira,4
Fortaleza,JARDIM GUANABARA,Sexta-feira,2
Fortaleza,JARDIM GUANABARA,Domingo,1
Fortaleza,JARDIM GUANABARA,Quarta-feira,1
Fortaleza,JARDIM GUANABARA,Segunda-feira,1
Fortaleza,JARDIM IRACEMA,Sábado,5
Fortaleza,JARDIM IRACEMA,Terça-feira,5
Fortaleza,JARDIM IRACEMA,Quarta-feira,4
Fortaleza,JARDIM IRACEMA,Domingo,2
Fortaleza,JARDIM IRACEMA,Quinta-feira,2
Fortaleza,JARDIM IRACEMA,Segunda-feira,1
Fortaleza,JARDIM IRACEMA,Sexta-feira,1
Fortaleza,JOAQUIM TÁVORA,Quarta-feira,3
Fortaleza,JOAQUIM TÁVORA,Quinta-feira,2
Fortaleza,JOAQUIM TÁVORA,Domingo,1
Fortaleza,JOAQUIM TÁVORA,Segunda-feira,1
Fortaleza,JOAQUIM TÁVORA,Sexta-feira,1
Fortaleza,JOAQUIM TÁVORA,Sábado,1
Fortaleza,JOAQUIM TÁVORA,Terça-feira,1
Fortaleza,JOSÉ BONIFÁCIO,Quarta-feira,3
Fortaleza,JOSÉ BONIFÁCIO,Segunda-feira,3
Fortaleza,JOSÉ BONIFÁCIO,Sábado,2
Fortaleza,JOSÉ BONIFÁCIO,Quinta-feira,1
Fortaleza,JOSÉ BONIFÁCIO,Sexta-feira,1
Fortaleza,JOSÉ BONIFÁCIO,Terça-feira,1
Fortaleza,JOSÉ DE ALENCAR,Domingo,12
Fortaleza,JOSÉ DE ALENCAR,Segunda-feira,6
Fortaleza,JOSÉ DE ALENCAR,Sábado,6
Fortaleza,JOSÉ DE ALENCAR,Sexta-feira,5
Fortaleza,JOSÉ DE ALENCAR,Quarta-feira,3
Fortaleza,JOSÉ DE ALENCAR,Terça-feira,3
Fortaleza,JOSÉ DE ALENCAR,Quinta-feira,2
Fortaleza,JOÃO XXIII,Quarta-feira,2
Fortaleza,JOÃO XXIII,Quinta-feira,2
Fortaleza,JOÃO XXIII,Segunda-feira,2
Fortaleza,JOÃO XXIII,Terça-feira,2
Fortaleza,JOÃO XXIII,Domingo,1
Fortaleza,JOÃO XXIII,Sábado,1
Fortaleza,JÓQUEI CLUBE,Quinta-feira,5
Fortaleza,JÓQUEI CLUBE,Sexta-feira,3
Fortaleza,JÓQUEI CLUBE,Domingo,2
Fortaleza,JÓQUEI CLUBE,Quarta-feira,1
Fortaleza,JÓQUEI CLUBE,Terça-feira,1
Fortaleza,LAGOA REDONDA,Quarta-feira,9
Fortaleza,LAGOA REDONDA,Sábado,9
Fortaleza,LAGOA REDONDA,Quinta-feira,8
Fortaleza,LAGOA REDONDA,Terça-feira,8
Fortaleza,LAGOA REDONDA,Sexta-feira,7
Fortaleza,LAGOA REDONDA,Domingo,6
Fortaleza,LAGOA REDONDA,Segunda-feira,6
Fortaleza,MANOEL SÁTIRO,Domingo,5
Fortaleza,MANOEL SÁTIRO,Quarta-feira,5
Fortaleza,MANOEL SÁTIRO,Sexta-feira,5
Fortaleza,MANOEL SÁTIRO,Segunda-feira,3
Fortaleza,MANOEL SÁTIRO,Sábado,3
Fortaleza,MANOEL SÁTIRO,Quinta-feira,2
Fortaleza,MANUEL DIAS BRANCO,Quinta-feira,3
Fortaleza,MANUEL DIAS BRANCO,Sexta-feira,3
Fortaleza,MANUEL DIAS BRANCO,Quarta-feira,2
Fortaleza,MANUEL DIAS BRANCO,Segunda-feira,2
Fortaleza,MANUEL DIAS BRANCO,Sábado,2
Fortaleza,MANUEL DIAS BRANCO,Domingo,1
Fortaleza,MANUEL DIAS BRANCO,Terça-feira,1
Fortaleza,MARAPONGA,Sexta-feira,4
Fortaleza,MARAPONGA,Sábado,4
Fortaleza,MARAPONGA,Domingo,3
Fortaleza,MARAPONGA,Segunda-feira,3
Fortaleza,MARAPONGA,Quinta-feira,1
Fortaleza,MEIRELES,Domingo,2
Fortaleza,MEIRELES,Sexta-feira,2
Fortaleza,MEIRELES,Quarta-feira,1
Fortaleza,MEIRELES,Segunda-feira,1
Fortaleza,MEIRELES,Sábado,1
Fortaleza,MESSEJANA,Domingo,22
Fortaleza,MESSEJANA,Quarta-feira,19
Fortaleza,MESSEJANA,Quinta-feira,19
Fortaleza,MESSEJANA,Sábado,18
Fortaleza,MESSEJANA,Segunda-feira,12
Fortaleza,MESSEJANA,Sexta-feira,12
Fortaleza,MESSEJANA,Terça-feira,9
Fortaleza,MONDUBIM,Sexta-feira,13
Fortaleza,MONDUBIM,Segunda-feira,12
Fortaleza,MONDUBIM,Terça-feira,12
Fortaleza,MONDUBIM,Domingo,11
Fortaleza,MONDUBIM,Sábado,11
Fortaleza,MONDUBIM,Quarta-feira,9
Fortaleza,MONDUBIM,Quinta-feira,7
Fortaleza,MONTE CASTELO,Sexta-feira,2
Fortaleza,MONTESE,Quinta-feira,4
Fortaleza,MONTESE,Terça-feira,2
Fortaleza,MONTESE,Segunda-feira,1
Fortaleza,MONTESE,Sexta-feira,1
Fortaleza,MONTESE,Sábado,1
Fortaleza,MOURA BRASIL,Domingo,3
Fortaleza,MOURA BRASIL,Quinta-feira,3
Fortaleza,MOURA BRASIL,Segunda-feira,2
Fortaleza,MOURA BRASIL,Sábado,2
Fortaleza,MOURA BRASIL,Quarta-feira,1
Fortaleza,MUCURIPE,Domingo,3
Fortaleza,MUCURIPE,Quinta-feira,1
Fortaleza,MUCURIPE,Segunda-feira,1
Fortaleza,MUCURIPE,Sexta-feira,1
Fortaleza,MUCURIPE,Sábado,1
Fortaleza,NOVO MONDUBIM,Sexta-feira,7
Fortaleza,NOVO MONDUBIM,Domingo,5
Fortaleza,NOVO MONDUBIM,Sábado,4
Fortaleza,NOVO MONDUBIM,Quinta-feira,3
Fortaleza,NOVO MONDUBIM,Segunda-feira,2
Fortaleza,NOVO MONDUBIM,Terça-feira,2
Fortaleza,OLAVO OLIVEIRA,Segunda-feira,4
Fortaleza,OLAVO OLIVEIRA,Quarta-feira,3
Fortaleza,OLAVO OLIVEIRA,Terça-feira,3
Fortaleza,OLAVO OLIVEIRA,Sábado,2
Fortaleza,OLAVO OLIVEIRA,Domingo,1
Fortaleza,OLAVO OLIVEIRA,Sexta-feira,1
Fortaleza,PADRE ANDRADE,Domingo,5
Fortaleza,PADRE ANDRADE,Sexta-feira,4
Fortaleza,PADRE ANDRADE,Sábado,4
Fortaleza,PADRE ANDRADE,Quarta-feira,3
Fortaleza,PADRE ANDRADE,Quinta-feira,3
Fortaleza,PADRE ANDRADE,Terça-feira,3
Fortaleza,PADRE ANDRADE,Segunda-feira,1
Fortaleza,PANAMERICANO,Terça-feira,2
Fortaleza,PANAMERICANO,Quinta-feira,1
Fortaleza,PAPICU,Sábado,8
Fortaleza,PAPICU,Domingo,4
Fortaleza,PAPICU,Quinta-feira,4
Fortaleza,PAPICU,Sexta-feira,4
Fortaleza,PAPICU,Segunda-feira,3
Fortaleza,PAPICU,Terça-feira,3
Fortaleza,PAPICU,Quarta-feira,2
Fortaleza,PARANGABA,Segunda-feira,4
Fortaleza,PARANGABA,Sábado,4
Fortaleza,PARANGABA,Domingo,2
Fortaleza,PARANGABA,Sexta-feira,2
Fortaleza,PARANGABA,Terça-feira,2
Fortaleza,PARANGABA,Quinta-feira,1
Fortaleza,PARQUE ARAXÁ,Sexta-feira,2
Fortaleza,PARQUE DOIS IRMĂOS,Domingo,8
Fortaleza,PARQUE DOIS IRMĂOS,Segunda-feira,8
Fortaleza,PARQUE DOIS IRMĂOS,Quarta-feira,5
Fortaleza,PARQUE DOIS IRMĂOS,Sexta-feira,4
Fortaleza,PARQUE DOIS IRMĂOS,Sábado,3
Fortaleza,PARQUE DOIS IRMĂOS,Terça-feira,3
Fortaleza,PARQUE DOIS IRMĂOS,Quinta-feira,2
Fortaleza,PARQUE IRACEMA,Domingo,4
Fortaleza,PARQUE IRACEMA,Quinta-feira,3
Fortaleza,PARQUE IRACEMA,Sábado,2
Fortaleza,PARQUE IRACEMA,Quarta-feira,1
Fortaleza,PARQUE IRACEMA,Sexta-feira,1
Fortaleza,PARQUE IRACEMA,Terça-feira,1
Fortaleza,PARQUE MANIBURA,Quinta-feira,2
Fortaleza,PARQUE MANIBURA,Sexta-feira,2
Fortaleza,PARQUE MANIBURA,Quarta-feira,1
Fortaleza,PARQUE MANIBURA,Segunda-feira,1
Fortaleza,PARQUE PRESIDENTE VARGAS,Sexta-feira,4
Fortaleza,PARQUE PRESIDENTE VARGAS,Terça-feira,4
Fortaleza,PARQUE PRESIDENTE VARGAS,Quarta-feira,2
Fortaleza,PARQUE PRESIDENTE VARGAS,Domingo,1
Fortaleza,PARQUE PRESIDENTE VARGAS,Quinta-feira,1
Fortaleza,PARQUE SANTA MARIA,Sexta-feira,7
Fortaleza,PARQUE SANTA MARIA,Segunda-feira,5
Fortaleza,PARQUE SANTA MARIA,Quarta-feira,2
Fortaleza,PARQUE SANTA MARIA,Quinta-feira,2
Fortaleza,PARQUE SANTA MARIA,Sábado,2
Fortaleza,PARQUE SANTA MARIA,Domingo,1
Fortaleza,PARQUE SANTA MARIA,Terça-feira,1
Fortaleza,PARQUE SANTA ROSA,Domingo,2
Fortaleza,PARQUE SANTA ROSA,Segunda-feira,2
Fortaleza,PARQUE SANTA ROSA,Terça-feira,2
Fortaleza,PARQUE SANTA ROSA,Quarta-feira,1
Fortaleza,PARQUE SANTA ROSA,Sexta-feira,1
Fortaleza,PARQUE SANTA ROSA,Sábado,1
Fortaleza,PARQUE SĂO JOSÉ,Quinta-feira,8
Fortaleza,PARQUE SĂO JOSÉ,Domingo,6
Fortaleza,PARQUE SĂO JOSÉ,Terça-feira,4
Fortaleza,PARQUE SĂO JOSÉ,Sábado,3
Fortaleza,PARQUE SĂO JOSÉ,Quarta-feira,2
Fortaleza,PARQUE SĂO JOSÉ,Sexta-feira,2
Fortaleza,PARQUELÂNDIA,Domingo,1
Fortaleza,PARQUELÂNDIA,Segunda-feira,1
Fortaleza,PARQUELÂNDIA,Sexta-feira,1
Fortaleza,PARQUELÂNDIA,Sábado,1
Fortaleza,PARREÃO,Sábado,2
Fortaleza,PARREÃO,Quinta-feira,1
Fortaleza,PARREÃO,Sexta-feira,1
Fortaleza,PARREÃO,Terça-feira,1
Fortaleza,PASSARÉ,Quarta-feira,16
Fortaleza,PASSARÉ,Quinta-feira,14
Fortaleza,PASSARÉ,Terça-feira,11
Fortaleza,PASSARÉ,Domingo,9
Fortaleza,PASSARÉ,Segunda-feira,8
Fortaleza,PASSARÉ,Sexta-feira,5
Fortaleza,PASSARÉ,Sábado,2
Fortaleza,PAUPINA,Sexta-feira,11
Fortaleza,PAUPINA,Sábado,7
Fortaleza,PAUPINA,Domingo,5
Fortaleza,PAUPINA,Segunda-feira,5
Fortaleza,PAUPINA,Terça-feira,5
Fortaleza,PAUPINA,Quarta-feira,4
Fortaleza,PAUPINA,Quinta-feira,4
Fortaleza,PEDRAS,Segunda-feira,6
Fortaleza,PEDRAS,Sexta-feira,5
Fortaleza,PEDRAS,Sábado,5
Fortaleza,PEDRAS,Quinta-feira,4
Fortaleza,PEDRAS,Domingo,3
Fortaleza,PEDRAS,Quarta-feira,2
Fortaleza,PEDRAS,Terça-feira,2
Fortaleza,PICI,Segunda-feira,13
Fortaleza,PICI,Sábado,13
Fortaleza,PICI,Quarta-feira,9
Fortaleza,PICI,Quinta-feira,8
Fortaleza,PICI,Sexta-feira,5
Fortaleza,PICI,Terça-feira,5
Fortaleza,PICI,Domingo,3
Fortaleza,PIRAMBU,Sábado,11
Fortaleza,PIRAMBU,Terça-feira,6
Fortaleza,PIRAMBU,Quinta-feira,5
Fortaleza,PIRAMBU,Quarta-feira,4
Fortaleza,PIRAMBU,Sexta-feira,4
Fortaleza,PIRAMBU,Domingo,3
Fortaleza,PIRAMBU,Segunda-feira,2
Fortaleza,PLANALTO AYRTON SENNA,Sexta-feira,20
Fortaleza,PLANALTO AYRTON SENNA,Domingo,18
Fortaleza,PLANALTO AYRTON SENNA,Sábado,13
Fortaleza,PLANALTO AYRTON SENNA,Quinta-feira,11
Fortaleza,PLANALTO AYRTON SENNA,Segunda-feira,11
Fortaleza,PLANALTO AYRTON SENNA,Terça-feira,11
Fortaleza,PLANALTO AYRTON SENNA,Quarta-feira,9
Fortaleza,PRAIA DE IRACEMA,Quarta-feira,3
Fortaleza,PRAIA DE IRACEMA,Domingo,1
Fortaleza,PRAIA DE IRACEMA,Quinta-feira,1
Fortaleza,PRAIA DE IRACEMA,Segunda-feira,1
Fortaleza,PRAIA DE IRACEMA,Terça-feira,1
Fortaleza,PRAIA DO FUTURO I,Domingo,4
Fortaleza,PRAIA DO FUTURO I,Sábado,3
Fortaleza,PRAIA DO FUTURO I,Terça-feira,2
Fortaleza,PRAIA DO FUTURO I,Quarta-feira,1
Fortaleza,PRAIA DO FUTURO I,Segunda-feira,1
Fortaleza,PRAIA DO FUTURO II,Domingo,10
Fortaleza,PRAIA DO FUTURO II,Sexta-feira,10
Fortaleza,PRAIA DO FUTURO II,Sábado,10
Fortaleza,PRAIA DO FUTURO II,Quarta-feira,5
Fortaleza,PRAIA DO FUTURO II,Quinta-feira,4
Fortaleza,PRAIA DO FUTURO II,Segunda-feira,4
Fortaleza,PRAIA DO FUTURO II,Terça-feira,1
Fortaleza,PRECABURA,Domingo,3
Fortaleza,PRECABURA,Quarta-feira,1
Fortaleza,PRECABURA,Quinta-feira,1
Fortaleza,PREFEITO JOSÉ WALTER,Sexta-feira,21
Fortaleza,PREFEITO JOSÉ WALTER,Domingo,17
Fortaleza,PREFEITO JOSÉ WALTER,Segunda-feira,16
Fortaleza,PREFEITO JOSÉ WALTER,Quinta-feira,14
Fortaleza,PREFEITO JOSÉ WALTER,Sábado,13
Fortaleza,PREFEITO JOSÉ WALTER,Quarta-feira,12
Fortaleza,PREFEITO JOSÉ WALTER,Terça-feira,10
Fortaleza,PRESIDENTE KENNEDY,Domingo,5
Fortaleza,PRESIDENTE KENNEDY,Quarta-feira,4
Fortaleza,PRESIDENTE KENNEDY,Sábado,4
Fortaleza,PRESIDENTE KENNEDY,Quinta-feira,3
Fortaleza,PRESIDENTE KENNEDY,Terça-feira,2
Fortaleza,PRESIDENTE KENNEDY,Segunda-feira,1
Fortaleza,PRESIDENTE KENNEDY,Sexta-feira,1
Fortaleza,QUINTINO CUNHA,Sexta-feira,13
Fortaleza,QUINTINO CUNHA,Terça-feira,11
Fortaleza,QUINTINO CUNHA,Domingo,9
Fortaleza,QUINTINO CUNHA,Segunda-feira,9
Fortaleza,QUINTINO CUNHA,Sábado,6
Fortaleza,QUINTINO CUNHA,Quinta-feira,4
Fortaleza,QUINTINO CUNHA,Quarta-feira,3
Fortaleza,RACHEL DE QUEIROZ,Quinta-feira,2
Fortaleza,RACHEL DE QUEIROZ,Domingo,1
Fortaleza,RACHEL DE QUEIROZ,Quarta-feira,1
Fortaleza,RACHEL DE QUEIROZ,Sexta-feira,1
Fortaleza,RACHEL DE QUEIROZ,Sábado,1
Fortaleza,RACHEL DE QUEIROZ,Terça-feira,1
Fortaleza,RODOLFO TEÓFILO,Quarta-feira,2
Fortaleza,RODOLFO TEÓFILO,Sexta-feira,2
Fortaleza,RODOLFO TEÓFILO,Quinta-feira,1
Fortaleza,SABIAGUABA,Quarta-feira,3
Fortaleza,SABIAGUABA,Quinta-feira,2
Fortaleza,SABIAGUABA,Sábado,2
Fortaleza,SABIAGUABA,Domingo,1
Fortaleza,SABIAGUABA,Sexta-feira,1
Fortaleza,SALINAS,Domingo,2
Fortaleza,SALINAS,Sábado,1
Fortaleza,SAPIRANGA / COITÉ,Sábado,8
Fortaleza,SAPIRANGA / COITÉ,Quarta-feira,7
Fortaleza,SAPIRANGA / COITÉ,Terça-feira,7
Fortaleza,SAPIRANGA / COITÉ,Sexta-feira,4
Fortaleza,SAPIRANGA / COITÉ,Quinta-feira,3
Fortaleza,SAPIRANGA / COITÉ,Segunda-feira,3
Fortaleza,SAPIRANGA / COITÉ,Domingo,2
Fortaleza,SERRINHA,Domingo,5
Fortaleza,SERRINHA,Sábado,5
Fortaleza,SERRINHA,Segunda-feira,4
Fortaleza,SERRINHA,Sexta-feira,4
Fortaleza,SERRINHA,Quinta-feira,3
Fortaleza,SERRINHA,Terça-feira,2
Fortaleza,SERRINHA,Quarta-feira,1
Fortaleza,SIQUEIRA,Sexta-feira,16
Fortaleza,SIQUEIRA,Sábado,15
Fortaleza,SIQUEIRA,Domingo,14
Fortaleza,SIQUEIRA,Segunda-feira,10
Fortaleza,SIQUEIRA,Terça-feira,10
Fortaleza,SIQUEIRA,Quarta-feira,9
Fortaleza,SIQUEIRA,Quinta-feira,7
Fortaleza,SÃO BENTO,Sexta-feira,5
Fortaleza,SÃO BENTO,Sábado,5
Fortaleza,SÃO BENTO,Domingo,4
Fortaleza,SÃO BENTO,Quarta-feira,2
Fortaleza,SÃO BENTO,Segunda-feira,2
Fortaleza,SÃO BENTO,Quinta-feira,1
Fortaleza,SÃO GERARDO,Quinta-feira,1
Fortaleza,SÃO GERARDO,Segunda-feira,1
Fortaleza,SÃO GERARDO,Sexta-feira,1
Fortaleza,SÃO JOÃO DO TAUAPE,Segunda-feira,4
Fortaleza,SÃO JOÃO DO TAUAPE,Sábado,4
Fortaleza,SÃO JOÃO DO TAUAPE,Sexta-feira,3
Fortaleza,SÃO JOÃO DO TAUAPE,Terça-feira,2
Fortaleza,SÃO JOÃO DO TAUAPE,Domingo,1
Fortaleza,SÃO JOÃO DO TAUAPE,Quarta-feira,1
Fortaleza,SÃO JOÃO DO TAUAPE,Quinta-feira,1
Fortaleza,VARJOTA,Domingo,2
Fortaleza,VARJOTA,Quinta-feira,1
Fortaleza,VARJOTA,Segunda-feira,1
Fortaleza,VARJOTA,Sexta-feira,1
Fortaleza,VARJOTA,Sábado,1
Fortaleza,VICENTE PINZÓN,Sexta-feira,11
Fortaleza,VICENTE PINZÓN,Quinta-feira,10
Fortaleza,VICENTE PINZÓN,Quarta-feira,9
Fortaleza,VICENTE PINZÓN,Segunda-feira,8
Fortaleza,VICENTE PINZÓN,Sábado,8
Fortaleza,VICENTE PINZÓN,Domingo,7
Fortaleza,VICENTE PINZÓN,Terça-feira,5
Fortaleza,VILA PERI,Quinta-feira,7
Fortaleza,VILA PERI,Sábado,6
Fortaleza,VILA PERI,Segunda-feira,5
Fortaleza,VILA PERI,Quarta-feira,4
Fortaleza,VILA PERI,Terça-feira,4
Fortaleza,VILA PERI,Sexta-feira,3
Fortaleza,VILA PERI,Domingo,1
Fortaleza,VILA UNIĂO,Domingo,2
Fortaleza,VILA UNIĂO,Quinta-feira,2
Fortaleza,VILA UNIĂO,Sexta-feira,2
Fortaleza,VILA UNIĂO,Quarta-feira,1
Fortaleza,VILA UNIĂO,Terça-feira,1
Fortaleza,VILA VELHA,Domingo,8
Fortaleza,VILA VELHA,Quarta-feira,8
Fortaleza,VILA VELHA,Segunda-feira,8
Fortaleza,VILA VELHA,Sábado,8
Fortaleza,VILA VELHA,Sexta-feira,7
Fortaleza,VILA VELHA,Quinta-feira,4
Fortaleza,VILA VELHA,Terça-feira,1
Fortaleza,ÁLVARO WEYNE,Domingo,5
Fortaleza,ÁLVARO WEYNE,Quinta-feira,4
Fortaleza,ÁLVARO WEYNE,Sexta-feira,4
Fortaleza,ÁLVARO WEYNE,Sábado,4
Fortaleza,ÁLVARO WEYNE,Terça-feira,4
Fortaleza,ÁLVARO WEYNE,Segunda-feira,3
Fortaleza,ÁLVARO WEYNE,Quarta-feira,2
Fortim,,Domingo,4
Fortim,,Sábado,3
Fortim,,Quarta-feira,2
Fortim,,Sexta-feira,2
Fortim,,Quinta-feira,1
Fortim,,Terça-feira,1
Frecheirinha,,Domingo,6
Frecheirinha,,Sábado,6
Frecheirinha,,Quarta-feira,5
Frecheirinha,,Sexta-feira,3
Frecheirinha,,Quinta-feira,2
Frecheirinha,,Terça-feira,2
General Sampaio,,Segunda-feira,7
General Sampaio,,Sábado,3
General Sampaio,,Quinta-feira,2
General Sampaio,,Domingo,1
General Sampaio,,Quarta-feira,1
General Sampaio,,Sexta-feira,1
General Sampaio,,Terça-feira,1
Granja,,Domingo,6
Granja,,Quarta-feira,6
Granja,,Sábado,6
Granja,,Segunda-feira,4
Granja,,Sexta-feira,4
Granja,,Terça-feira,3
Granja,,Quinta-feira,1
Graça,,Domingo,7
Graça,,Quarta-feira,5
Graça,,Segunda-feira,4
Graça,,Sexta-feira,3
Graça,,Quinta-feira,2
Graça,,Terça-feira,2
Groaíras,,Quarta-feira,10
Groaíras,,Sábado,9
Groaíras,,Segunda-feira,8
Groaíras,,Sexta-feira,7
Groaíras,,Quinta-feira,5
Groaíras,,Terça-feira,5
Groaíras,,Domingo,4
Guaiúba,,Domingo,13
Guaiúba,,Quarta-feira,13
Guaiúba,,Terça-feira,12
Guaiúba,,Sexta-feira,11
Guaiúba,,Segunda-feira,10
Guaiúba,,Quinta-feira,8
Guaiúba,,Sábado,7
Guaraciaba do Norte,,Domingo,3
Guaraciaba do Norte,,Sábado,3
Guaraciaba do Norte,,Quinta-feira,2
Guaraciaba do Norte,,Quarta-feira,1
Guaraciaba do Norte,,Segunda-feira,1
Guaraciaba do Norte,,Sexta-feira,1
Guaramiranga,,Domingo,1
Guaramiranga,,Sexta-feira,1
Guaramiranga,,Terça-feira,1
Hidrolândia,,Quarta-feira,1
Hidrolândia,,Sexta-feira,1
Horizonte,,Sábado,31
Horizonte,,Terça-feira,24
Horizonte,,Domingo,23
Horizonte,,Quarta-feira,21
Horizonte,,Sexta-feira,19
Horizonte,,Segunda-feira,15
Horizonte,,Quinta-feira,14
Ibaretama,,Domingo,9
Ibaretama,,Segunda-feira,7
Ibaretama,,Sábado,3
Ibaretama,,Terça-feira,3
Ibaretama,,Sexta-feira,2
Ibiapina,,Quinta-feira,4
Ibiapina,,Domingo,3
Ibiapina,,Segunda-feira,3
Ibiapina,,Terça-feira,2
Ibiapina,,Quarta-feira,1
Ibiapina,,Sexta-feira,1
Ibiapina,,Sábado,1
Ibicuitinga,,Terça-feira,9
Ibicuitinga,,Quinta-feira,8
Ibicuitinga,,Sábado,7
Ibicuitinga,,Segunda-feira,6
Ibicuitinga,,Sexta-feira,5
Ibicuitinga,,Domingo,3
Ibicuitinga,,Quarta-feira,2
Icapuí,,Sábado,7
Icapuí,,Domingo,5
Icapuí,,Quinta-feira,5
Icapuí,,Segunda-feira,4
Icapuí,,Terça-feira,4
Icapuí,,Sexta-feira,3
Icapuí,,Quarta-feira,2
Icó,,Terça-feira,11
Icó,,Domingo,5
Icó,,Segunda-feira,5
Icó,,Sábado,5
Icó,,Quarta-feira,4
Icó,,Sexta-feira,4
Icó,,Quinta-feira,3
Iguatu,,Quinta-feira,18
Iguatu,,Domingo,17
Iguatu,,Segunda-feira,17
Iguatu,,Sábado,16
Iguatu,,Quarta-feira,10
Iguatu,,Sexta-feira,10
Iguatu,,Terça-feira,5
Independência,,Domingo,8
Independência,,Quinta-feira,6
Independência,,Sábado,6
Independência,,Segunda-feira,5
Independência,,Sexta-feira,5
Independência,,Terça-feira,2
Ipaporanga,,Domingo,3
Ipaporanga,,Quarta-feira,3
Ipaporanga,,Segunda-feira,1
Ipaporanga,,Sexta-feira,1
Ipaporanga,,Sábado,1
Ipaumirim,,Quarta-feira,1
Ipaumirim,,Sábado,1
Ipu,,Domingo,3
Ipu,,Quarta-feira,2
Ipu,,Sábado,2
Ipu,,Terça-feira,2
Ipu,,Quinta-feira,1
Ipueiras,,Sábado,3
Ipueiras,,Domingo,1
Ipueiras,,Quarta-feira,1
Ipueiras,,Quinta-feira,1
Iracema,,Domingo,7
Iracema,,Sábado,4
Iracema,,Sexta-feira,3
Iracema,,Segunda-feira,2
Iracema,,Terça-feira,2
Iracema,,Quarta-feira,1
Irauçuba,,Quinta-feira,7
Irauçuba,,Segunda-feira,5
Irauçuba,,Sábado,5
Irauçuba,,Domingo,4
Irauçuba,,Sexta-feira,4
Irauçuba,,Quarta-feira,3
Irauçuba,,Terça-feira,2
Itaitinga,,Domingo,19
Itaitinga,,Sexta-feira,13
Itaitinga,,Sábado,12
Itaitinga,,Quarta-feira,11
Itaitinga,,Quinta-feira,10
Itaitinga,,Terça-feira,8
Itaitinga,,Segunda-feira,7
Itaiçaba,,Sábado,6
Itaiçaba,,Domingo,2
Itaiçaba,,Quinta-feira,2
Itaiçaba,,Quarta-feira,1
Itaiçaba,,Segunda-feira,1
Itaiçaba,,Sexta-feira,1
Itaiçaba,,Terça-feira,1
Itapajé,,Domingo,21
Itapajé,,Terça-feira,20
Itapajé,,Sábado,16
Itapajé,,Quarta-feira,11
Itapajé,,Quinta-feira,9
Itapajé,,Segunda-feira,9
Itapajé,,Sexta-feira,8
Itapipoca,,Domingo,36
Itapipoca,,Quarta-feira,31
Itapipoca,,Quinta-feira,27
Itapipoca,,Sábado,25
Itapipoca,,Terça-feira,25
Itapipoca,,Sexta-feira,24
Itapipoca,,Segunda-feira,19
Itapiúna,,Domingo,8
Itapiúna,,Sábado,7
Itapiúna,,Sexta-feira,6
Itapiúna,,Quinta-feira,5
Itapiúna,,Terça-feira,5
Itapiúna,,Quarta-feira,4
Itapiúna,,Segunda-feira,4
Itarema,,Sábado,23
Itarema,,Quinta-feira,21
Itarema,,Domingo,20
Itarema,,Segunda-feira,19
Itarema,,Quarta-feira,18
Itarema,,Sexta-feira,17
Itarema,,Terça-feira,16
Itatira,,Domingo,10
Itatira,,Segunda-feira,5
Itatira,,Quarta-feira,4
Itatira,,Sexta-feira,4
Itatira,,Sábado,3
Itatira,,Terça-feira,3
Itatira,,Quinta-feira,1
Jaguaretama,,Sábado,9
Jaguaretama,,Quinta-feira,7
Jaguaretama,,Segunda-feira,6
Jaguaretama,,Quarta-feira,5
Jaguaretama,,Domingo,4
Jaguaretama,,Sexta-feira,4
Jaguaretama,,Terça-feira,3
Jaguaribara,,Domingo,8
Jaguaribara,,Sexta-feira,5
Jaguaribara,,Segunda-feira,4
Jaguaribara,,Quarta-feira,3
Jaguaribara,,Terça-feira,3
Jaguaribara,,Sábado,2
Jaguaribara,,Quinta-feira,1
Jaguaribe,,Sábado,10
Jaguaribe,,Domingo,7
Jaguaribe,,Sexta-feira,6
Jaguaribe,,Quinta-feira,4
Jaguaribe,,Segunda-feira,4
Jaguaribe,,Quarta-feira,2
Jaguaribe,,Terça-feira,1
Jaguaruana,,Domingo,7
Jaguaruana,,Quarta-feira,2
Jaguaruana,,Quinta-feira,2
Jaguaruana,,Segunda-feira,2
Jaguaruana,,Sexta-feira,2
Jaguaruana,,Sábado,1
Jaguaruana,,Terça-feira,1
Jardim,,Quinta-feira,2
Jardim,,Sexta-feira,2
Jardim,,Sábado,2
Jardim,,Domingo,1
Jati,,Terça-feira,2
Jati,,Segunda-feira,1
Jati,,Sexta-feira,1
Jijoca de Jericoacoara,,Sexta-feira,8
Jijoca de Jericoacoara,,Domingo,7
Jijoca de Jericoacoara,,Sábado,7
Jijoca de Jericoacoara,,Quarta-feira,6
Jijoca de Jericoacoara,,Segunda-feira,6
Jijoca de Jericoacoara,,Quinta-feira,5
Jijoca de Jericoacoara,,Terça-feira,2
