cidade,bairro,weekday,count
Brejo Santo,,Domingo,3
Brejo Santo,,Quinta-feira,3
Brejo Santo,,Terça-feira,1
Camocim,,Domingo,18
Camocim,,Quarta-feira,16
Camocim,,Terça-feira,13
Camocim,,Sábado,10
Camocim,,Sexta-feira,9
Camocim,,Segunda-feira,8
Camocim,,Quinta-feira,6
Campos Sales,,Quinta-feira,5
Campos Sales,,Sexta-feira,5
Campos Sales,,Domingo,4
Campos Sales,,Sábado,4
Campos Sales,,Quarta-feira,3
Campos Sales,,Segunda-feira,2
Campos Sales,,Terça-feira,2
Canindé,,Sábado,20
Canindé,,Domingo,19
Canindé,,Segunda-feira,14
Canindé,,Quarta-feira,13
Canindé,,Sexta-feira,13
Canindé,,Quinta-feira,12
Canindé,,Terça-feira,8
Capistrano,,Terça-feira,8
Capistrano,,Domingo,5
Capistrano,,Quarta-feira,5
Capistrano,,Sábado,4
Capistrano,,Sexta-feira,3
Capistrano,,Segunda-feira,2
Capistrano,,Quinta-feira,1
Caridade,,Sábado,7
Caridade,,Domingo,5
Caridade,,Sexta-feira,4
Caridade,,Terça-feira,3
Caridade,,Quarta-feira,2
Caridade,,Segunda-feira,2
Caridade,,Quinta-feira,1
Caririaçu,,Sexta-feira,5
Caririaçu,,Domingo,2
Caririaçu,,Quinta-feira,2
Caririaçu,,Sábado,2
Caririaçu,,Quarta-feira,1
Caririaçu,,Segunda-feira,1
Caririaçu,,Terça-feira,1
Cariré,,Quinta-feira,9
Cariré,,Sábado,9
Cariré,,Domingo,7
Cariré,,Sexta-feira,7
Cariré,,Quarta-feira,6
Cariré,,Segunda-feira,6
Cariré,,Terça-feira,4
Cariús,,Domingo,5
Cariús,,Sábado,3
Cariús,,Terça-feira,2
Cariús,,Quarta-feira,1
Cariús,,Segunda-feira,1
Carnaubal,,Sábado,6
Carnaubal,,Quinta-feira,3
Carnaubal,,Segunda-feira,2
Carnaubal,,Sexta-feira,1
Carnaubal,,Terça-feira,1
Cascavel,,Sábado,36
Cascavel,,Domingo,29
Cascavel,,Segunda-feira,28
Cascavel,,Quinta-feira,23
Cascavel,,Terça-feira,22
Cascavel,,Quarta-feira,21
Cascavel,,Sexta-feira,21
Catarina,,Quinta-feira,3
Catarina,,Domingo,2
Catarina,,Sábado,2
Catarina,,Quarta-feira,1
Catunda,,Domingo,2
