bairro_cidade,mean_monthly,std_monthly,peak_monthly,cv
SÍTIO CAPOEIRA / CHOROZINHO,1.0,0.0,1,0.0
SÃO SEBASTIÃO / UBAJARA,1.0,0.0,1,0.0
TABULEIRO DO CATAVENTO / RUSSAS,1.0,0.0,1,0.0
TIMBAÚBAS / JUAZEIRO DO NORTE,1.0,0.0,1,0.0
TRIÂNGULO DE MARCO / MARCO,1.0,0.0,1,0.0
VEREMOS / CRATEÚS,1.0,0.0,1,0.0
TIMBÓ / MARACANAÚ,1.0,0.0,1,0.0
TOCA / SÃO BENEDITO,1.0,0.0,1,0.0
VILA MASCENA / TABULEIRO DO NORTE,1.0,0.0,1,0.0
YPIRANGA / SÃO BENEDITO,1.0,0.0,1,0.0
ZONA RURAL / ACARAÚ,1.0,0.0,1,0.0
ZONA RURAL / ARACATI,1.0,0.0,1,0.0
ZONA RURAL / CANINDÉ,1.0,0.0,1,0.0
ZONA RURAL / CEDRO,1.0,0.0,1,0.0
VICENTE PINZON / FORTALEZA,1.0,0.0,1,0.0
VILA JOSÉ MENDES / TABULEIRO DO NORTE,1.0,0.0,1,0.0
ZONA RURAL / IPUEIRAS,1.0,0.0,1,0.0
ZONA RURAL / IBIAPINA,1.0,0.0,1,0.0
ZONA RURAL / JUAZEIRO DO NORTE,1.0,0.0,1,0.0
ZONA RURAL / ITAREMA,1.0,0.0,1,0.0
ZONA RURAL / MARCO,1.0,0.0,1,0.0
ZONA RURAL / NOVO ORIENTE,1.0,0.0,1,0.0
ZONA RURAL / PARAIPABA,1.0,0.0,1,0.0
ZONA RURAL / JIJOCA DE JERICOACOARA,1.0,0.0,1,0.0
ZONA RURAL / TABULEIRO DO NORTE,1.0,0.0,1,0.0
ZONA RURAL / TAMBORIL,1.0,0.0,1,0.0
ZONA RURAL / TRAIRI,1.0,0.0,1,0.0
ZONA RURAL / TIANGUÁ,1.0,0.0,1,0.0
ZONA RURAL / UBAJARA,1.0,0.0,1,0.0
ZONA RURAL / VARJOTA,1.0,0.0,1,0.0
"ZONA RURAL, SANTA TEREZINHA / GRANJA",1.0,0.0,1,0.0
ZONA URBANA / JAGUARIBE,1.0,0.0,1,0.0
