data,municipio,lat,long,area_faccao,fonte,is_cvli,total_armas,total_drogas_g,has_large_seizure,has_weapons_drugs,dinheiro_apreendido
2024-03-04 00:00:00,LIMOEIRO DO NORTE,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
2024-03-05 00:00:00,Desconhecido,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
2024-03-08 00:00:00,TABULEIRO DO NORTE,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
2024-03-23 00:00:00,ITAPAJÉ,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
2024-03-23 00:00:00,CASCAVEL,0.0,0.0,TROPA,tropas,0,0,852.0,False,False,0.0
2024-03-31 00:00:00,FORTALEZA,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
2024-03-31 00:00:00,FORTALEZA,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
2024-04-13 00:00:00,CAMOCIM,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
2024-04-14 00:00:00,Desconhecido,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
2024-04-14 00:00:00,FORTALEZA,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
2024-04-16 00:00:00,Desconhecido,0.0,0.0,TROPA,tropas,0,0,40.0,False,False,0.0
2024-04-18 00:00:00,Desconhecido,0.0,0.0,TROPA,tropas,0,0,10.0,False,False,0.0
2024-05-22 00:00:00,HORIZONTE,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
2024-05-24 00:00:00,PARACURU,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
2024-06-09 00:00:00,MARACANAU,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
2024-06-12 00:00:00,MARANGUAPE,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
2024-06-13 00:00:00,CAUCAIA,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
2024-06-23 00:00:00,ARATUBA,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
2024-07-21 00:00:00,QUIXADÁ,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
2024-07-22 00:00:00,AMONTADA,0.0,0.0,TROPA,tropas,0,1,24.0,False,True,0.0
2024-07-24 00:00:00,PARAIPABA,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
2024-08-04 00:00:00,MARACANAÚ,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
2024-08-04 00:00:00,FORTALEZA,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
2024-08-13 00:00:00,PARAIPABA,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
2024-08-13 00:00:00,PARAIPABA,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
2024-08-16 00:00:00,PARAIPABA,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
2024-08-20 00:00:00,PARAIPABA,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
2024-08-21 00:00:00,PARAIPABA,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
2024-08-21 00:00:00,PARAIPABA,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
2024-08-22 00:00:00,CASCAVEL,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
2024-09-02 00:00:00,GRANJA,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
2024-09-29 00:00:00,PARAIPABA,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
2024-09-30 00:00:00,PARAIPABA,0.0,0.0,TROPA,tropas,0,0,6.0,False,False,0.0
2024-10-09 00:00:00,FORTALEZA,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
2024-10-11 00:00:00,IBIAPINA,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
2024-10-17 00:00:00,CAMOCIM,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
2024-10-25 00:00:00,MUCAMBO,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
2024-11-21 00:00:00,MARANGUAPE,0.0,0.0,TROPA,tropas,0,1,80.0,False,True,0.0
2024-12-07 00:00:00,PARAIPABA,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
2024-12-22 00:00:00,Desconhecido,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
2024-12-31 00:00:00,CRATO CE,0.0,0.0,TROPA,tropas,0,0,1.0,False,False,0.0
2024-12-31 00:00:00,BEBERIBE,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
2024-12-31 00:00:00,IPUEIRAS,0.0,0.0,TROPA,tropas,0,0,0.0,False,False,0.0
