bairro,mes,prisoes
CONJUNTO NOVO PARAISO,2025-04,1
PARQUE LEBLON,2025-04,1
PARQUE LEBLON,2025-06,1
PARQUE LEBLON,2025-08,1
PARQUE LEBLON,2025-12,1
PADRE ROMUALDO,2025-04,1
POSTI IBIS,2025-04,1
PARQUE BOA VISTA,2025-04,1
PARQUE BOA VISTA,2025-11,1
BOM JESUS,2025-04,1
PARQUE DAS NACOES,2025-05,1
PARQUE DAS NACOES,2025-07,1
PARQUE DAS NACOES,2025-09,1
PARQUE DAS NACOES,2025-10,1
IPARANA,2025-05,1
IPARANA,2025-09,1
IPARANA,2025-11,2
ITAMBE,2025-05,1
ITAMBE,2025-09,3
PARQUE ITAPUA,2025-05,1
ITAPUA,2025-05,1
METROPOLE SUL,2025-05,1
METROPOLE SUL,2025-06,2
METROPOLE SUL,2025-07,1
ARIANOPOLES,2025-06,3
ARIANOPOLES,2025-08,1
CARRAPICHO,2025-06,1
PICUI,2025-06,1
PICUI,2025-09,1
PICUI,2025-10,1
PICUI,2025-11,2
PICUI,2025-12,1
PARQUE ITAPOA,2025-06,1
CONJUNTO EL DOURADO,2025-06,1
CONJUNTO SAO DOMINGOS,2025-06,1
METROPOLE V,2025-06,1
METROPOLE,2025-06,1
METROPOLE,2025-09,1
VILA NOVA,2025-06,1
VILA NOVA,2025-12,1
CAJUEIROS,2025-06,1
RONDON,2025-06,1
MADUREIRA,2025-06,1
PARQUE ALBANO,2025-07,1
PARQUE ALBANO,2025-08,1
PARQUE ALBANO,2025-10,1
PARQUE ALBANO,2025-11,1
ICARAI,2025-07,1
ICARAI,2025-10,1
PARQUE SAO GERARDO,2025-07,1
TABAPUA BRASILIA,2025-07,1
PARQUE IPIRANGA,2025-08,1
PLANAUTO CAUCAIA,2025-08,1
GUAIE,2025-08,1
CERCADAO,2025-08,1
GRILO,2025-08,1
SAO MIGUE,2025-09,1
POTIRA III,2025-09,1
PATRICIA GOMES,2025-09,1
ITAMBE II,2025-09,1
SAO GERARDO,2025-09,2
SAO GERARDO,2025-11,1
CAPUA,2025-09,1
JARDIM DO AMOR,2025-09,1
FAVELA DOS CAJUEIROS,2025-10,1
CAMURUPIM,2025-10,1
CUMBUCO,2025-11,2
CUMBUCO,2025-12,1
CURICACA,2025-11,1
TABUBA,2025-11,1
PLANALTO CAUCAIA,2025-12,1
TUCUNDUBA,2025-12,1
