feature,lag_months,pearson_r
procedimentos_total,0,0.4710554256113362
procedimentos_total,1,0.2297983194679023
procedimentos_total,3,0.17953319615234947
armas_total,0,0.3688901141503385
armas_total,1,0.29630734677780307
armas_total,3,0.12389040670163169
drogas_total,0,-0.019472034934619298
drogas_total,1,0.056989189217688356
drogas_total,3,-0.02061411405134993
dinheiro_total,0,0.319542226424012
dinheiro_total,1,-0.0029556739681721547
dinheiro_total,3,-0.03004442788598927
