lag,acf
0,1.0
1,0.5714247133328051
2,0.5220505251527037
3,0.5170784877276615
4,0.5275126291425886
5,0.5238169373951592
6,0.5343052846490615
7,0.5774343698312693
8,0.5601696014423915
9,0.5112692530270333
10,0.501691997087658
11,0.4798411696418936
12,0.521957153460235
13,0.5355829375573068
14,0.5733490037130201
15,0.5368602354467398
16,0.5007527821913349
17,0.48840429598369595
18,0.482722277399652
19,0.5022726155322398
20,0.5293182516326664
21,0.5697821827602221
22,0.5190853865255741
23,0.49321969405112315
24,0.48046278991312114
25,0.4815517581900574
26,0.49842899880595165
27,0.5221577565531761
28,0.5279069276715334
29,0.5065219965284707
30,0.4549110101696393
31,0.45541523295863134
32,0.4719310965092093
33,0.4711972925354812
34,0.5040470765099555
35,0.5473093408252625
36,0.5072085174629564
37,0.47135309252589286
38,0.4575974169718811
39,0.47532420436569145
40,0.4633307087375535
41,0.4866390540708968
42,0.5387726517594514
43,0.5040627288312404
44,0.4550179852873782
45,0.4424254142234393
46,0.4662530832103467
47,0.4604920913321788
48,0.49208546757459964
49,0.5059425635563406
50,0.47575327785063626
51,0.4387260264733456
52,0.4302863290807816
53,0.4209316630759213
54,0.4380529885481155
55,0.44197300092999303
56,0.4957642593070358
57,0.4401128619762564
58,0.42564486979890387
59,0.41652073719059984
60,0.4210589844657245
