bairro,n_high_months,mean_homicide_reduction_next_vs_prev
JEREISSATI 3,2,0.0
JEREISSATI I,1,0.0
JEREISSATI II,4,0.0
JEREISSATI III,4,0.0
JERICOACOARA,1,0.0
JOSE WALTER,4,0.0
JOSÉ DE ALENCAR,6,0.0
JOSÉ WALTER,18,-0.05555555555555555
JOÃO CABRAL,8,0.0
JOÃO PAULO 2,1,0.0
JOÃO PAULO II,5,0.0
JOÃO XXIII,3,0.0
JUAZEIRO,1,0.0
JUCÁS,2,0.0
JUNCO,2,0.0
JUREMA,8,0.0
JUREMAL,1,0.0
JÓQUEI CLUBE,5,0.0
LADEIRA,2,0.0
LAGAMAR,4,0.0
LAGOA,6,0.0
LAGOA REDONDA,3,0.0
LAGOA SECA,14,0.0
LAGOINHA,14,-0.07142857142857142
LAJEIRO,1,0.0
LIMA CAMPOS,1,0.0
LUZARDO VIANA,5,0.0
MALEITAS,8,0.0
MALOCA,1,0.0
MALVINAS,1,0.0
MANGA,2,0.0
MANGABEIRA,8,0.0
MARANHÃO,3,0.0
MARAPONGA,14,-0.07142857142857142
MARAVILHA,2,0.0
MARECHAL RONDON,15,-0.06666666666666667
MATERNIDADE,1,0.0
MEIRELES,5,0.0
MESSEJANA,14,0.0
METROPOLE,1,0.0
MINA,2,0.0
MIRANTE DA SERRA,1,0.0
MONDUBIM,14,0.0
MONGUBA,4,0.0
MONTE AZUL,2,-0.5
MONTE CASTELO,10,0.2
MONTESE,13,0.0
MORADA NOVA,3,0.0
MORRO BRANCO,2,0.0
MORRO DOURADO,4,0.0
MOURA BRASIL,14,0.07142857142857142
MUCUNÃ,22,0.045454545454545456
MUCURIPE,1,0.0
MULTIRÃO,1,0.0
MUNDAÚ,1,0.0
MUNGUBA,2,0.0
MURITI,9,0.1111111111111111
MUTIRÃO,12,0.0
NOSSA SENHORA DE FÁTIMA,14,0.07142857142857142
NOSSA SENHORA DE LOURDES,2,0.0
NOVA METRÓPOLE,4,0.0
NOVA PACATUBA,12,0.0
NOVO MARANGUAPE,10,0.1
NOVO PARQUE IRACEMA,2,0.0
OITICICA,1,0.0
OLHO D’ÁGUA,1,0.0
OLINDA,5,0.2
OUTRA BANDA,8,0.0
PADRE ANDRADE,2,0.0
