cidade,n_periodos,corr_pearson,corr_spearman,p_value,cvli_trend,pris_trend,cvli_media,pris_media
SAO GONCALO DO AMARANTE,42,-0.125,-0.068,0.4304,-0.667,-0.308,3.0,14.36
UBAJARA,26,-0.13,0.04,0.528,-0.5,0.0,1.73,3.62
PACATUBA,48,-0.132,-0.13,0.371,1.0,-0.812,4.23,9.83
CRUZ,17,-0.133,-0.16,0.6097,0.0,-0.5,1.41,1.06
JAGUARIBE,22,-0.159,-0.17,0.4788,-0.5,0.0,1.32,1.09
TABULEIRO DO NORTE,27,-0.159,-0.07,0.4296,0.0,0.091,1.74,5.63
ARACOIABA,11,-0.172,-0.397,0.612,0.0,0.0,1.64,1.91
MORADA NOVA,42,-0.178,-0.039,0.2594,-0.75,0.0,3.43,4.21
GUAIUBA,31,-0.206,-0.176,0.2657,1.0,3.0,2.23,3.03
CASCAVEL,48,-0.217,-0.136,0.1393,0.0,0.0,3.75,13.15
ACOPIARA,31,-0.238,-0.287,0.1964,0.0,0.2,1.35,4.87
IGUATU,42,-0.248,-0.216,0.1135,-0.5,0.0,2.21,19.81
QUITERIANOPOLIS,5,-0.25,-0.25,0.685,0.0,0.0,1.2,1.2
CHOROZINHO,23,-0.274,-0.263,0.206,-0.75,0.0,1.43,4.43
MASSAPE,19,-0.285,-0.344,0.2376,0.0,0.0,1.21,5.74
GRANJA,21,-0.292,-0.332,0.1983,1.0,1.75,1.43,5.1
GENERAL SAMPAIO,8,-0.293,-0.293,0.4816,-0.5,0.0,1.38,1.12
VARJOTA,24,-0.304,-0.354,0.1482,7.0,0.0,2.0,2.17
ICO,20,-0.332,-0.409,0.1531,-0.5,-0.444,1.7,6.95
BELA CRUZ,17,-0.353,-0.349,0.1645,-0.5,1.333,1.18,4.59
SENADOR POMPEU,13,-0.358,-0.292,0.2295,0.0,0.0,1.31,2.0
PARAMBU,9,-0.423,-0.436,0.2572,1.0,-0.5,1.22,2.33
INDEPENDENCIA,8,-0.447,-0.447,0.2666,0.0,1.0,1.25,1.38
FORTIM,9,-0.5,-0.51,0.1705,1.0,-0.5,1.33,1.78
OROS,4,-0.577,-0.577,0.4226,0.0,-0.5,1.25,1.5
MORRINHOS,10,-0.591,-0.577,0.072,0.0,-0.25,1.2,2.3
ACARAPE,4,,,,1.0,0.0,1.5,1.0
APUIARES,4,,,,0.0,0.0,1.0,1.5
ARARENDA,5,,,,0.0,0.0,1.0,1.0
ARARIPE,4,,,,0.0,0.0,1.0,1.0
ARATUBA,5,,,,0.0,0.0,1.0,1.4
ASSARE,3,,,,1.0,0.0,1.33,1.0
CARIDADE,4,,,,0.0,0.0,1.25,1.0
CATUNDA,4,,,,0.0,0.0,1.0,1.0
CHAVAL,3,,,,-0.5,0.0,2.33,1.0
CHORO,5,,,,1.0,0.0,2.0,1.0
COREAU,6,,,,1.0,0.0,1.17,1.0
CROATA,5,,,,0.0,1.0,1.0,1.4
GUARACIABA DO NORTE,11,,,,0.0,0.143,1.0,5.0
IBARETAMA,4,,,,0.0,0.0,1.5,1.0
IBICUITINGA,9,,,,-0.5,0.0,1.56,1.0
