cidade,mes_inicial,mes_final,cvli_inicial,cvli_final,cvli_pct_change,pris_inicial,pris_final,pris_pct_change,tipo_divergencia
ARACOIABA,2,3,6,2,-66.7,2,4,100.0,CVLI↓ Pris↑
OROS,1,3,3,1,-66.7,1,2,100.0,CVLI↓ Pris↑
NOVO ORIENTE,2,3,3,1,-66.7,4,6,50.0,CVLI↓ Pris↑
PARAIPABA,4,5,3,1,-66.7,4,6,50.0,CVLI↓ Pris↑
PARAMBU,5,7,3,1,-66.7,2,3,50.0,CVLI↓ Pris↑
INDEPENDENCIA,5,8,3,5,66.7,2,1,-50.0,CVLI↑ Pris↓
PACATUBA,6,7,12,20,66.7,12,7,-41.7,CVLI↑ Pris↓
FORQUILHA,11,12,6,10,66.7,3,1,-66.7,CVLI↑ Pris↓
GRANJA,9,10,3,5,66.7,11,1,-90.9,CVLI↑ Pris↓
JIJOCA DE JERICOACOARA,3,4,3,1,-66.7,3,4,33.3,CVLI↓ Pris↑
GROAIRAS,9,10,9,3,-66.7,1,3,200.0,CVLI↓ Pris↑
BARREIRA,4,5,3,1,-66.7,1,5,400.0,CVLI↓ Pris↑
ACARAU,7,8,3,5,66.7,8,2,-75.0,CVLI↑ Pris↓
ARACATI,9,10,14,5,-64.3,4,6,50.0,CVLI↓ Pris↑
ITAPAJE,8,9,11,4,-63.6,3,4,33.3,CVLI↓ Pris↑
PARAIPABA,10,11,8,3,-62.5,7,13,85.7,CVLI↓ Pris↑
RUSSAS,1,2,16,6,-62.5,7,15,114.3,CVLI↓ Pris↑
SAO GONCALO DO AMARANTE,3,4,13,5,-61.5,13,17,30.8,CVLI↓ Pris↑
TRAIRI,6,7,18,7,-61.1,2,3,50.0,CVLI↓ Pris↑
CAMOCIM,3,4,5,8,60.0,7,3,-57.1,CVLI↑ Pris↓
EUSEBIO,9,10,5,8,60.0,3,2,-33.3,CVLI↑ Pris↓
CASCAVEL,1,2,10,16,60.0,20,5,-75.0,CVLI↑ Pris↓
ICO,5,6,5,2,-60.0,4,8,100.0,CVLI↓ Pris↑
CRATO,5,6,12,19,58.3,18,5,-72.2,CVLI↑ Pris↓
AMONTADA,1,2,14,6,-57.1,3,7,133.3,CVLI↓ Pris↑
VARJOTA,11,12,7,11,57.1,3,1,-66.7,CVLI↑ Pris↓
CRATEUS,7,8,9,4,-55.6,4,6,50.0,CVLI↓ Pris↑
PENTECOSTE,1,2,9,4,-55.6,1,2,100.0,CVLI↓ Pris↑
UBAJARA,7,8,8,4,-50.0,2,4,100.0,CVLI↓ Pris↑
BELA CRUZ,2,3,2,1,-50.0,2,4,100.0,CVLI↓ Pris↑
BELA CRUZ,6,7,4,2,-50.0,2,3,50.0,CVLI↓ Pris↑
BELA CRUZ,7,8,2,1,-50.0,3,5,66.7,CVLI↓ Pris↑
MONSENHOR TABOSA,3,4,2,1,-50.0,2,6,200.0,CVLI↓ Pris↑
VARZEA ALEGRE,1,3,2,1,-50.0,4,9,125.0,CVLI↓ Pris↑
URUBURETAMA,3,4,2,3,50.0,3,2,-33.3,CVLI↑ Pris↓
CAMOCIM,7,8,8,4,-50.0,13,20,53.8,CVLI↓ Pris↑
CEDRO,1,2,2,3,50.0,3,1,-66.7,CVLI↑ Pris↓
FORTIM,4,5,2,1,-50.0,1,2,100.0,CVLI↓ Pris↑
CAMPOS SALES,6,7,2,3,50.0,4,1,-75.0,CVLI↑ Pris↓
CASCAVEL,11,12,12,18,50.0,9,6,-33.3,CVLI↑ Pris↓
CARIRIACU,3,4,2,1,-50.0,6,9,50.0,CVLI↓ Pris↑
MARANGUAPE,3,4,16,24,50.0,6,2,-66.7,CVLI↑ Pris↓
MARTINOPOLE,3,10,2,1,-50.0,1,4,300.0,CVLI↓ Pris↑
MASSAPE,4,5,2,1,-50.0,4,13,225.0,CVLI↓ Pris↑
MILAGRES,2,10,2,1,-50.0,1,3,200.0,CVLI↓ Pris↑
JAGUARUANA,11,12,2,3,50.0,8,2,-75.0,CVLI↑ Pris↓
CRATEUS,6,7,6,9,50.0,11,4,-63.6,CVLI↑ Pris↓
MASSAPE,2,3,2,1,-50.0,6,9,50.0,CVLI↓ Pris↑
MOMBACA,7,8,2,1,-50.0,2,5,150.0,CVLI↓ Pris↑
PARAMBU,4,5,2,3,50.0,4,2,-50.0,CVLI↑ Pris↓
TRAIRI,8,9,16,8,-50.0,3,4,33.3,CVLI↓ Pris↑
UBAJARA,10,11,4,2,-50.0,4,6,50.0,CVLI↓ Pris↑
TRAIRI,10,11,8,12,50.0,8,5,-37.5,CVLI↑ Pris↓
PACATUBA,7,8,20,11,-45.0,7,10,42.9,CVLI↓ Pris↑
PACAJUS,8,9,14,8,-42.9,3,12,300.0,CVLI↓ Pris↑
MORADA NOVA,3,4,21,12,-42.9,1,5,400.0,CVLI↓ Pris↑
ITAREMA,4,5,7,4,-42.9,3,7,133.3,CVLI↓ Pris↑
PARACURU,3,4,5,3,-40.0,9,13,44.4,CVLI↓ Pris↑
ACARAU,8,9,5,3,-40.0,2,3,50.0,CVLI↓ Pris↑
AMONTADA,5,6,13,8,-38.5,2,3,50.0,CVLI↓ Pris↑
HORIZONTE,11,12,13,18,38.5,8,2,-75.0,CVLI↑ Pris↓
PARACURU,7,8,8,11,37.5,13,7,-46.2,CVLI↑ Pris↓
CASCAVEL,8,9,19,12,-36.8,11,17,54.5,CVLI↓ Pris↑
SOBRAL,10,11,44,28,-36.4,22,33,50.0,CVLI↓ Pris↑
MORADA NOVA,1,2,11,15,36.4,4,1,-75.0,CVLI↑ Pris↓
AQUIRAZ,7,8,14,9,-35.7,7,12,71.4,CVLI↓ Pris↑
HORIZONTE,3,4,20,13,-35.0,7,11,57.1,CVLI↓ Pris↑
BARROQUINHA,10,11,3,2,-33.3,1,4,300.0,CVLI↓ Pris↑
CRATEUS,5,6,9,6,-33.3,5,11,120.0,CVLI↓ Pris↑
SANTANA DO ACARAU,2,3,3,2,-33.3,2,9,350.0,CVLI↓ Pris↑
MISSAO VELHA,2,3,3,4,33.3,8,4,-50.0,CVLI↑ Pris↓
MARCO,8,9,3,2,-33.3,6,12,100.0,CVLI↓ Pris↑
NOVO ORIENTE,8,9,3,4,33.3,12,7,-41.7,CVLI↑ Pris↓
TABULEIRO DO NORTE,2,3,3,2,-33.3,3,11,266.7,CVLI↓ Pris↑
RUSSAS,10,11,9,6,-33.3,7,11,57.1,CVLI↓ Pris↑
QUIXERAMOBIM,7,8,3,2,-33.3,5,12,140.0,CVLI↓ Pris↑
PEDRA BRANCA,9,10,9,6,-33.3,1,8,700.0,CVLI↓ Pris↑
VARJOTA,3,4,3,2,-33.3,1,2,100.0,CVLI↓ Pris↑
SAO GONCALO DO AMARANTE,11,12,12,16,33.3,19,9,-52.6,CVLI↑ Pris↓
VICOSA DO CEARA,11,12,6,4,-33.3,2,4,100.0,CVLI↓ Pris↑
JUAZEIRO DO NORTE,8,9,19,25,31.6,21,14,-33.3,CVLI↑ Pris↓
