cidade,bairro,consistency,total_cvli
Maracanaú,Industrial,0.7553014202170215,8
Pacajus,Aldeia Park,0.7553014202170215,8
Maracanaú,Jari,0.7553014202170215,8
Russas,Catumbela,0.7546906129564283,11
Sobral,Santa Casa,0.7545943553972536,10
Caucaia,Itambé,0.7541888851209253,11
Crato,Zona Rural,0.7541888851209252,11
Brejo Santo,Centro,0.754164440287835,21
Caucaia,Potira,0.7539356247269726,26
Crateús,Centro,0.7532633670396518,25
Maracanaú,Alto Alegre II,0.7532182452484768,19
Aquiraz,Chácara da Prainha,0.7529428863614719,14
Bela Cruz,Zona Rural,0.752903400516017,14
Fortaleza,Luciano Cavalcante,0.7522916615734885,14
Itaitinga,Antônio Miguel,0.7517162831717357,7
Iguatu,Fomento,0.7517162831717357,7
Aracati,Pedregal,0.751473500201461,8
Tauá,Aldeota,0.751473500201461,8
Fortaleza,Jardim Guanabara,0.751473500201461,8
Camocim,Brasília,0.751473500201461,8
Juazeiro do Norte,São José,0.7514735002014609,8
Fortaleza,Dias Macedo,0.7514735002014609,8
Limoeiro do Norte,Zona Rural,0.7511808624137863,17
Camocim,Praia,0.7510797356156865,13
Tianguá,Santo Antônio,0.7509410347915281,20
Fortaleza,Canindezinho,0.7506865336626241,37
Trairi,Mundaú,0.749252240299966,7
Fortaleza,Bairro Ellery,0.749252240299966,7
Aracoiaba,Centro,0.749252240299966,7
Canindé,Monte,0.749252240299966,7
Icó,Posto Continental,0.749252240299966,7
Caucaia,Parque Potira,0.749252240299966,7
Guaraciaba do Norte,Zona Rural,0.7480091252831382,33
Horizonte,Centro,0.7478058104907241,18
Morada Nova,Centro,0.7471434272638415,16
Itarema,Almofala,0.7463050617894885,12
Fortaleza,Boa Vista,0.7463050617894885,12
Camocim,Boa Esperança,0.7463050617894885,12
Iguatu,Gadelha,0.744975180527316,8
Fortaleza,Barroso,0.7447834205013343,24
Caucaia,Parque Boa Vista,0.744041829429567,6
Maracanaú,Piratininga,0.7436566971660841,11
Maranguape,Tabatinga,0.7436566971660841,11
Barbalha,Malvinas,0.7434402565161873,11
Barbalha,Bela Vista,0.7434402565161873,11
Horizonte,Mangueiral,0.7434402565161873,11
Quixadá,Alto São Francisco,0.7434402565161873,11
Forquilha,Edmundo Rodrigues,0.7434402565161873,11
Iguatu,Flores,0.7434402565161873,11
Fortaleza,Jacarecanga,0.7425837707005778,36
Maracanaú,Jereissati 1,0.7423855539515427,8
Amontada,Centro,0.7423855539515427,8
Camocim,Apossados,0.7420914471302951,14
Fortaleza,Cajazeiras,0.7416596545831495,15
Fortaleza,Lagoa Redonda,0.7416596545831495,15
Fortaleza,Serviluz,0.7412897645060954,10
Fortaleza,Panamericano,0.7412897645060954,10
Brejo Santo,São Francisco,0.7412897645060954,10
Fortaleza,Mucuripe,0.7408191503068391,12
Fortaleza,Conjunto Esperança,0.7408191503068391,12
Tamboril,Zona Rural,0.7408191503068391,12
Fortaleza,Bairro de Fátima,0.7408191503068391,12
Maracanaú,Novo Maracanaú,0.7407807395469246,7
Crateús,Cidade 2000,0.7407474410113682,10
Caririaçu,Zona Rural,0.7405003128912364,9
Iguatu,Alto do Jucá,0.7405003128912364,9
Maracanaú,Timbó,0.7399929726547125,13
Fortaleza,Planalto Pici,0.7399929726547125,12
Itaitinga,Angorá,0.7399929726547125,12
Fortaleza,Planalto Airton Sena,0.7399929726547125,13
Fortaleza,Parque Santa Rosa,0.7399929726547124,12
Acaraú,Morada Nova,0.7399929726547124,12
Itapajé,Zona Rural,0.7399482623230653,18
Fortaleza,Jardim Fluminense,0.7388666254315402,12
Canindé,Palestina,0.7388666254315402,12
Iguatu,Centro,0.7387961250362586,16
Fortaleza,Quintino Cunha,0.7381400900504679,39
Fortaleza,Ancuri,0.7370309358582533,18
Itarema,Lagoa Seca,0.7364513857193827,18
Fortaleza,Floresta,0.7357704537159893,21
Icó,Cidade Nova,0.7348703407832233,11
Sobral,Tamarindo,0.7348703407832233,11
Fortaleza,Jardim América,0.7348703407832233,11
Jaguaruana,Zona Rural,0.7340444815494602,25
Limoeiro do Norte,Centro,0.7326661134929461,13
Mauriti,Centro,0.7326661134929461,13
São Benedito,ABC,0.7326661134929461,13
Itapajé,Centro,0.7318524657292299,19
Fortaleza,Granja Portugal,0.7317479376223366,44
Caucaia,Araturi,0.7316492934974302,43
Russas,Lagoa do Toco,0.7315253393836986,14
Fortaleza,Vila Velha,0.7307114748039605,24
Maracanaú,Mucunã,0.7299629613165498,19
Maracanaú,Jaçanaú,0.7297522716286186,10
Fortaleza,Alto da Balança,0.7297522716286186,10
Horizonte,Dourado,0.7297522716286186,10
Maranguape,Outra Banda,0.7297522716286186,10
Eusébio,Mangabeira,0.7297522716286186,10
Pedra Branca,Santa Maria,0.7297522716286186,10
Varjota,Empréstimo,0.7297522716286186,10
Paracuru,Poço Doce,0.7297522716286186,10
Granja,Parazinho,0.7297522716286186,10
Tianguá,Estádio,0.729701373156603,16
Fortaleza,Pici,0.7295240871275889,19
Cascavel,Caponga,0.7294957398785124,15
Jaguaribe,Zona Rural,0.7294001823265326,14
Quixadá,Campo Novo,0.7292955682388461,22
Caucaia,Parque Soledade,0.7290894789463097,13
São Gonçalo do Amarante,Centro,0.7290894789463097,13
Várzea Alegre,Centro,0.7290894789463097,13
Maracanaú,Pau Serrado,0.7285029720968149,6
Novo Oriente,Centro,0.7277142573518673,20
Capistrano,Zona Rural,0.7277142573518672,10
Itapipoca,Coqueiro,0.7277142573518672,10
Fortaleza,Genibau,0.7277142573518672,10
Camocim,Cruzeiro,0.7277142573518672,10
Fortaleza,Planalto Airton Senna,0.7277142573518672,16
Trairi,Zona Rural,0.7275966937734587,15
Juazeiro do Norte,Romeirão,0.7272727272727273,12
Caucaia,Iparana,0.7272727272727273,14
São Benedito,Cruzeiro,0.7272727272727273,12
Sobral,Distrito Industrial,0.7265333034165506,11
Ubajara,Centro,0.7262858765097868,19
Caucaia,Conjunto Metropolitano,0.7250141317304384,15
Paracuru,Zona Rural,0.7248915533959789,9
Várzea Alegre,Rosinha,0.7248915533959789,9
Iguatu,João Paulo II,0.724784109329323,16
Itarema,Zona Rural,0.7238487121416358,24
Crato,Seminário,0.7236571905941831,29
Fortaleza,Pirambu,0.7226039007954237,57
Fortaleza,Curió,0.7218190594393936,19
Brejo Santo,Zona Rural,0.7216062892039402,22
Fortaleza,Álvaro Weyne,0.7211726378546063,16
Fortaleza,Aerolândia,0.7208799177017439,21
Itapipoca,Cruzeiro,0.7208254886814803,8
Pindoretama,Centro,0.7208254886814803,8
Fortaleza,Sapiranga,0.7201659102342379,30
Fortaleza,Castelão,0.719677168803222,15
Mombaça,Zona Rural,0.7195250936189154,20
Fortaleza,Bom Sucesso,0.7182337625120296,22
Fortaleza,Carlito Pamplona,0.7177929869371348,47
Juazeiro do Norte,Jardim Gonzaga,0.7176451591834832,12
Itapipoca,Centro,0.7176451591834832,12
Fortaleza,Genibaú,0.7166622996094641,38
Tianguá,Zona Rural,0.7160156995763786,19
Fortaleza,João XXIII,0.7155675317256107,18
Icó,Centro,0.7153221155332128,17
Viçosa do Ceará,Centro,0.7146878989169683,18
Quixeramobim,Centro,0.7144957961186631,17
Camocim,Zona Rural,0.7139473810201816,22
Fortaleza,José de Alencar,0.713259066454641,18
Pacatuba,Pavuna,0.7130743615238445,17
Fortaleza,Messejana,0.7125696964840704,34
Pacajus,Centro,0.7123287671232877,13
Parambu,Zona Rural,0.7101020514433645,13
Ubajara,São Sebastião,0.7094037313136372,17
Caucaia,Parque Albano,0.7092897508645307,17
Iguatu,Vila Neuma,0.7088332356379131,23
Fortaleza,Antônio Bezerra,0.7087010526306221,34
Fortaleza,Fátima,0.708701052630622,17
Sobral,Zona Rural,0.708233419569167,17
Quixeramobim,Zona Rural,0.7080242206289223,14
Icapuí,Zona Rural,0.7079791376956306,11
Caucaia,Parque Guadalajara,0.7075757139824927,19
Itarema,Centro,0.7074892114454506,13
Fortaleza,São Miguel,0.7072717161159091,16
Sobral,Centro,0.7054322772964423,36
Caucaia,Tabapuá,0.7051474926210611,15
Fortaleza,Parquelândia,0.7048571920553529,22
Fortaleza,Vila Peri,0.7045911709953085,12
Sobral,Sumaré,0.7043095599032911,24
Caucaia,Parque Leblon,0.7040425641383963,20
São Benedito,Zona Rural,0.7029068852448986,24
Eusébio,Jabuti,0.7024328899761122,11
Caucaia,Campo Grande,0.7024328899761122,11
Pacajus,Coaçu,0.7022287617682362,17
Aquiraz,Prainha,0.7019736187623941,16
Fortaleza,Maraponga,0.7014276414908109,22
Ipu,Zona Rural,0.7009403032247477,13
Acaraú,Pedrinhas,0.7004674983532949,10
Fortaleza,João Paulo II,0.6987047574337233,16
Itaitinga,Centro,0.6982999427534541,12
Maracanaú,Cidade Nova,0.6976871546898407,10
Maracanaú,Conjunto Industrial,0.6973574332287377,12
Fortaleza,Bela Vista,0.6971627643061338,17
Pedra Branca,Zona Rural,0.6968873661659449,21
Boa Viagem,Zona Rural,0.6967729328105198,18
Fortaleza,Parque São José,0.6959413803934792,38
Cascavel,Centro,0.6958386590512045,13
Caucaia,Tabapuazinho,0.6952344542044019,20
Várzea Alegre,Zona Rural,0.6951680751383452,14
Fortaleza,Conjunto Palmeiras,0.6948064297512301,19
Fortaleza,Benfica,0.6941868115512961,33
Sobral,Terrenos Novos,0.6935134594120167,28
Granja,Zona Rural,0.6932772959344573,20
Iguatu,Vila Centenário,0.692660052049203,15
Tamboril,Centro,0.692003731802949,15
Maracanaú,Acaracuzinho,0.6917325504161085,15
Acopiara,Zona Rural,0.6904277482907857,23
Icó,Zona Rural,0.6898391379454971,17
Canindé,Alto Guaramiranga,0.6892556375697163,14
Aracati,Várzea da Matriz,0.6885915442487891,15
Fortaleza,Papicu,0.688527281966567,19
Caucaia,Planalto Caucaia,0.685486144481411,11
Russas,Zona Rural,0.6854041306513192,25
Fortaleza,São João do Tauape,0.6844876352775394,14
Horizonte,Planalto Horizonte,0.6836997682027982,23
Paracuru,Centro,0.6827693244125183,20
Tianguá,Centro,0.6822748490948896,21
Aquiraz,Iguape,0.6822327856663049,18
Juazeiro do Norte,Santa Tereza,0.6819749846564411,13
Crateús,Zona Rural,0.6818743127313769,23
Fortaleza,Guararapes,0.6816516945229747,14
Chorozinho,Centro,0.6816516945229747,14
Aurora,Araçá,0.6801793728955436,14
Iguatu,Vila Moura,0.6801793728955436,14
Crato,São Miguel,0.6801793728955436,14
Camocim,São Francisco,0.6800453782930034,14
Paracuru,Carlotas,0.6800453782930033,14
Aracati,Canoa Quebrada,0.6797020828763194,15
Guaraciaba do Norte,Centro,0.6796227589829592,13
Russas,Várzea Alegre,0.6792408222693468,13
Horizonte,Catolé,0.679105964679293,14
Maracanaú,Parque Tijuca,0.678773538117986,19
Fortaleza,Edson Queiroz,0.6783879592309269,25
São Benedito,Centro,0.6783871748918809,21
Tabuleiro do Norte,Zona Rural,0.6778918320360677,17
Camocim,Olinda,0.6773126507218125,20
Caucaia,Centro,0.6763960603890979,17
Várzea Alegre,Varjota,0.6762898367356031,11
Juazeiro do Norte,Frei Damião,0.6760153642040824,12
Sobral,Alto Novo,0.6745925039410762,19
Canindé,Centro,0.6743337113049838,14
Caucaia,São Miguel,0.6724915848041783,21
Fortaleza,Farias Brito,0.6723413544387564,14
Sobral,Dom José,0.6721966722493018,9
São Benedito,Corrente,0.6719880324709664,18
Fortaleza,Centro,0.6716852757795314,44
Maranguape,Novo Maranguape,0.6715016619661041,19
Fortaleza,Autran Nunes,0.671478929058344,21
Fortaleza,Meireles,0.6710631921380471,24
Quixeré,Zona Rural,0.6701725821424984,8
Fortaleza,Parque Araxá,0.6701725821424984,8
Caucaia,São Gerardo,0.6701725821424984,8
Granja,São Pedro,0.6687317251194307,13
Maracanaú,Alto Alegre 2,0.6687317251194307,13
Missão Velha,Centro,0.6679751503777176,16
Fortaleza,Damas,0.6678843318271815,22
Maracanaú,Luzardo Viana,0.6671056968394712,17
Quixadá,São João,0.6669188576563992,14
Aurora,Zona Rural,0.6666666666666666,24
Independência,Zona Rural,0.6666666666666666,10
Crato,Muriti,0.6666062782641838,16
