cidade,mes_operacao,mes_resultado,prisoes_antes,prisoes_depois,prisoes_aumento,prisoes_aumento_pct,cvli_antes,cvli_depois,cvli_aumento,cvli_aumento_pct,tipo_impacto,cvli_reducao,cvli_reducao_pct
MARACANAU,2,3,25,29,4,16.0,20,17,,,POSITIVO: Pris↑ Cvli↓,3.0,-15.0
MARACANAU,7,8,11,26,15,136.4,12,19,7.0,58.3,NEGATIVO: Pris↑ Cvli↑,,
MARACANAU,8,9,26,32,6,23.1,8,23,15.0,187.5,NEGATIVO: Pris↑ Cvli↑,,
MARANGUAPE,4,5,2,6,4,200.0,1,2,1.0,100.0,NEGATIVO: Pris↑ Cvli↑,,
MARANGUAPE,6,7,5,19,14,280.0,2,5,3.0,150.0,NEGATIVO: Pris↑ Cvli↑,,
MARANGUAPE,7,8,19,28,9,47.4,3,10,7.0,233.3,NEGATIVO: Pris↑ Cvli↑,,
MARANGUAPE,9,10,11,16,5,45.5,5,13,8.0,160.0,NEGATIVO: Pris↑ Cvli↑,,
MARCO,5,6,5,6,1,20.0,2,1,,,POSITIVO: Pris↑ Cvli↓,1.0,-50.0
MARCO,7,8,3,6,3,100.0,1,2,1.0,100.0,NEGATIVO: Pris↑ Cvli↑,,
MARCO,8,9,6,12,6,100.0,1,2,1.0,100.0,NEGATIVO: Pris↑ Cvli↑,,
MARTINOPOLE,3,10,1,4,3,300.0,2,1,,,POSITIVO: Pris↑ Cvli↓,1.0,-50.0
MASSAPE,4,5,4,13,9,225.0,2,1,,,POSITIVO: Pris↑ Cvli↓,1.0,-50.0
MAURITI,7,8,1,2,1,100.0,1,3,2.0,200.0,NEGATIVO: Pris↑ Cvli↑,,
MISSAO VELHA,3,4,4,5,1,25.0,2,1,,,POSITIVO: Pris↑ Cvli↓,1.0,-50.0
MOMBACA,4,5,3,4,1,33.3,2,1,,,POSITIVO: Pris↑ Cvli↓,1.0,-50.0
MOMBACA,8,9,5,9,4,80.0,1,2,1.0,100.0,NEGATIVO: Pris↑ Cvli↑,,
MORADA NOVA,3,4,1,5,4,400.0,1,3,2.0,200.0,NEGATIVO: Pris↑ Cvli↑,,
MORADA NOVA,4,5,5,7,2,40.0,2,4,2.0,100.0,NEGATIVO: Pris↑ Cvli↑,,
MORADA NOVA,5,6,7,8,1,14.3,1,2,1.0,100.0,NEGATIVO: Pris↑ Cvli↑,,
MORADA NOVA,9,10,2,5,3,150.0,1,2,1.0,100.0,NEGATIVO: Pris↑ Cvli↑,,
MORRINHOS,6,8,1,3,2,200.0,2,1,,,POSITIVO: Pris↑ Cvli↓,1.0,-50.0
NOVA RUSSAS,7,8,5,6,1,20.0,1,2,1.0,100.0,NEGATIVO: Pris↑ Cvli↑,,
NOVA RUSSAS,9,10,3,5,2,66.7,1,2,1.0,100.0,NEGATIVO: Pris↑ Cvli↑,,
NOVO ORIENTE,2,3,4,6,2,50.0,2,1,,,POSITIVO: Pris↑ Cvli↓,1.0,-50.0
NOVO ORIENTE,4,6,6,7,1,16.7,1,2,1.0,100.0,NEGATIVO: Pris↑ Cvli↑,,
NOVO ORIENTE,7,8,4,12,8,200.0,2,3,1.0,50.0,NEGATIVO: Pris↑ Cvli↑,,
OCARA,7,8,4,7,3,75.0,1,2,1.0,100.0,NEGATIVO: Pris↑ Cvli↑,,
OCARA,9,10,6,7,1,16.7,2,1,,,POSITIVO: Pris↑ Cvli↓,1.0,-50.0
PACAJUS,1,2,6,9,3,50.0,2,3,1.0,50.0,NEGATIVO: Pris↑ Cvli↑,,
PACAJUS,2,3,9,13,4,44.4,3,2,,,POSITIVO: Pris↑ Cvli↓,1.0,-33.3
PACAJUS,4,5,9,10,1,11.1,1,3,2.0,200.0,NEGATIVO: Pris↑ Cvli↑,,
PACAJUS,8,9,3,12,9,300.0,1,4,3.0,300.0,NEGATIVO: Pris↑ Cvli↑,,
PACAJUS,9,10,12,13,1,8.3,2,4,2.0,100.0,NEGATIVO: Pris↑ Cvli↑,,
PACATUBA,3,4,7,11,4,57.1,3,6,3.0,100.0,NEGATIVO: Pris↑ Cvli↑,,
PACATUBA,5,6,11,12,1,9.1,6,5,,,POSITIVO: Pris↑ Cvli↓,1.0,-16.7
PACATUBA,7,8,7,10,3,42.9,7,6,,,POSITIVO: Pris↑ Cvli↓,1.0,-14.3
PACATUBA,8,9,10,14,4,40.0,1,7,6.0,600.0,NEGATIVO: Pris↑ Cvli↑,,
PARACURU,3,4,9,13,4,44.4,2,1,,,POSITIVO: Pris↑ Cvli↓,1.0,-50.0
PARACURU,8,9,7,13,6,85.7,6,1,,,POSITIVO: Pris↑ Cvli↓,5.0,-83.3
PARACURU,10,11,8,9,1,12.5,4,1,,,POSITIVO: Pris↑ Cvli↓,3.0,-75.0
PARAIPABA,1,2,4,5,1,25.0,2,1,,,POSITIVO: Pris↑ Cvli↓,1.0,-50.0
PARAIPABA,10,11,7,13,6,85.7,1,2,1.0,100.0,NEGATIVO: Pris↑ Cvli↑,,
PEDRA BRANCA,2,3,2,5,3,150.0,2,1,,,POSITIVO: Pris↑ Cvli↓,1.0,-50.0
PEDRA BRANCA,4,5,4,7,3,75.0,1,2,1.0,100.0,NEGATIVO: Pris↑ Cvli↑,,
PEDRA BRANCA,5,6,7,8,1,14.3,2,1,,,POSITIVO: Pris↑ Cvli↓,1.0,-50.0
PEDRA BRANCA,7,8,2,9,7,350.0,1,2,1.0,100.0,NEGATIVO: Pris↑ Cvli↑,,
PEDRA BRANCA,9,10,1,8,7,700.0,3,1,,,POSITIVO: Pris↑ Cvli↓,2.0,-66.7
PENTECOSTE,3,4,2,4,2,100.0,3,6,3.0,100.0,NEGATIVO: Pris↑ Cvli↑,,
PENTECOSTE,5,6,4,5,1,25.0,1,4,3.0,300.0,NEGATIVO: Pris↑ Cvli↑,,
PINDORETAMA,8,9,1,3,2,200.0,2,3,1.0,50.0,NEGATIVO: Pris↑ Cvli↑,,
PINDORETAMA,9,10,3,6,3,100.0,3,2,,,POSITIVO: Pris↑ Cvli↓,1.0,-33.3
PORANGA,5,6,1,3,2,200.0,1,2,1.0,100.0,NEGATIVO: Pris↑ Cvli↑,,
QUIXADA,3,4,12,22,10,83.3,1,5,4.0,400.0,NEGATIVO: Pris↑ Cvli↑,,
QUIXADA,6,7,11,17,6,54.5,2,5,3.0,150.0,NEGATIVO: Pris↑ Cvli↑,,
QUIXADA,8,9,7,17,10,142.9,1,7,6.0,600.0,NEGATIVO: Pris↑ Cvli↑,,
QUIXADA,9,10,17,20,3,17.6,5,3,,,POSITIVO: Pris↑ Cvli↓,2.0,-40.0
QUIXADA,10,11,20,23,3,15.0,3,7,4.0,133.3,NEGATIVO: Pris↑ Cvli↑,,
QUIXERAMOBIM,7,8,5,12,7,140.0,3,1,,,POSITIVO: Pris↑ Cvli↓,2.0,-66.7
RUSSAS,1,2,7,15,8,114.3,2,1,,,POSITIVO: Pris↑ Cvli↓,1.0,-50.0
RUSSAS,8,9,12,16,4,33.3,2,1,,,POSITIVO: Pris↑ Cvli↓,1.0,-50.0
RUSSAS,10,11,7,11,4,57.1,5,3,,,POSITIVO: Pris↑ Cvli↓,2.0,-40.0
SANTA QUITERIA,3,4,2,3,1,50.0,1,2,1.0,100.0,NEGATIVO: Pris↑ Cvli↑,,
SANTA QUITERIA,5,6,2,3,1,50.0,1,2,1.0,100.0,NEGATIVO: Pris↑ Cvli↑,,
SANTA QUITERIA,7,8,3,4,1,33.3,3,1,,,POSITIVO: Pris↑ Cvli↓,2.0,-66.7
SOBRAL,4,5,27,30,3,11.1,4,3,,,POSITIVO: Pris↑ Cvli↓,1.0,-25.0
SOBRAL,7,8,22,35,13,59.1,8,5,,,POSITIVO: Pris↑ Cvli↓,3.0,-37.5
SOBRAL,10,11,22,33,11,50.0,7,1,,,POSITIVO: Pris↑ Cvli↓,6.0,-85.7
SAO BENEDITO,7,8,2,6,4,200.0,2,4,2.0,100.0,NEGATIVO: Pris↑ Cvli↑,,
SAO BENEDITO,9,10,6,7,1,16.7,3,1,,,POSITIVO: Pris↑ Cvli↓,2.0,-66.7
SAO BENEDITO,11,12,3,5,2,66.7,1,2,1.0,100.0,NEGATIVO: Pris↑ Cvli↑,,
SAO GONCALO DO AMARANTE,1,2,13,16,3,23.1,7,1,,,POSITIVO: Pris↑ Cvli↓,6.0,-85.7
SAO GONCALO DO AMARANTE,5,6,8,14,6,75.0,2,5,3.0,150.0,NEGATIVO: Pris↑ Cvli↑,,
SAO GONCALO DO AMARANTE,6,7,14,19,5,35.7,2,3,1.0,50.0,NEGATIVO: Pris↑ Cvli↑,,
